"first_index","second_index","first_sample_id","first_split","first_class","first_source","first_image_path","second_sample_id","second_split","second_class","second_source","second_image_path","hamming_distance","pixel_correlation","mask_iou","transform","strong","full_pixel_correlation","full_image_mae","full_image_rmse","full_image_psnr","full_image_mismatch_pixels","full_mask_iou","full_mask_mismatch_pixels","likely_duplicate"
"4","947","Glioma__enh_1004","train","Glioma","","Glioma/enh_1004.png","Glioma__enh_553","test","Glioma","","Glioma/enh_553.png","11","0.999918","0.652174","flip_h","False","0.999743709","0.532387","0.948716","48.588077","104618","0.631506849","538","False"
"26","961","Glioma__enh_1026","train","Glioma","","Glioma/enh_1026.png","Glioma__enh_567","test","Glioma","","Glioma/enh_567.png","11","0.999881","0.770492","flip_h","False","0.999680026","0.522655","0.903677","49.010543","107371","0.78484577","1681","False"
"31","962","Glioma__enh_1031","train","Glioma","","Glioma/enh_1031.png","Glioma__enh_568","test","Glioma","","Glioma/enh_568.png","10","0.99992","0.795918","flip_h","False","0.999762644","0.478325","0.895665","49.087893","94113","0.807540984","1761","False"
"49","964","Glioma__enh_1049","train","Glioma","","Glioma/enh_1049.png","Glioma__enh_570","test","Glioma","","Glioma/enh_570.png","8","0.999885","0.444444","flip_h","True","0.999643593","0.539192","0.941864","48.651039","107253","0.513480089","1967","False"
"53","965","Glioma__enh_1053","val","Glioma","","Glioma/enh_1053.png","Glioma__enh_571","test","Glioma","","Glioma/enh_571.png","9","0.99989","0.521277","flip_h","False","0.999674757","0.514324","0.906774","48.980823","103738","0.541271989","2712","False"
"56","966","Glioma__enh_1056","train","Glioma","","Glioma/enh_1056.png","Glioma__enh_572","test","Glioma","","Glioma/enh_572.png","12","0.999882","0.896552","flip_h","False","0.9996851","0.466488","0.84916","49.551010","96512","0.942425936","103","True"
"60","967","Glioma__enh_1060","train","Glioma","","Glioma/enh_1060.png","Glioma__enh_573","test","Glioma","","Glioma/enh_573.png","11","0.99988","0.956897","flip_h","False","0.999688907","0.536861","0.890649","49.136676","114153","0.957294181","637","True"
"70","1223","Glioma__enh_1070","val","Glioma","","Glioma/enh_1070.png","Glioma__enh_829","train","Glioma","","Glioma/enh_829.png","10","0.999887","0.742857","flip_h","False","0.999633459","0.539429","0.94837","48.591244","106658","0.769631236","531","False"
"88","955","Glioma__enh_1088","train","Glioma","","Glioma/enh_1088.png","Glioma__enh_561","test","Glioma","","Glioma/enh_561.png","9","0.999906","1","flip_h","False","0.999728911","0.540451","0.935773","48.707392","108666","0.812888199","241","False"
"91","956","Glioma__enh_1091","train","Glioma","","Glioma/enh_1091.png","Glioma__enh_562","test","Glioma","","Glioma/enh_562.png","5","0.999891","0.21978","flip_h","True","0.999698082","0.501354","0.897679","49.068380","101119","0.220608575","4508","False"
"96","957","Glioma__enh_1096","train","Glioma","","Glioma/enh_1096.png","Glioma__enh_563","test","Glioma","","Glioma/enh_563.png","11","0.99986","0.945313","flip_h","False","0.999651827","0.507366","0.886368","49.178522","104769","0.925235906","618","True"
"100","958","Glioma__enh_1100","train","Glioma","","Glioma/enh_1100.png","Glioma__enh_564","test","Glioma","","Glioma/enh_564.png","10","0.999871","1","flip_h","False","0.999701834","0.523994","0.885315","49.188845","111339","0.980543319","106","True"
"107","959","Glioma__enh_1107","val","Glioma","","Glioma/enh_1107.png","Glioma__enh_565","test","Glioma","","Glioma/enh_565.png","7","0.999885","0.518519","flip_h","True","0.999723194","0.532032","0.891483","49.128539","112916","0.535529972","2340","False"
"136","1184","Glioma__enh_1136","val","Glioma","","Glioma/enh_1136.png","Glioma__enh_790","train","Glioma","","Glioma/enh_790.png","9","0.99987","0.915058","flip_h","False","0.999633285","0.52734","0.916815","48.885171","106527","0.937796099","1011","True"
"184","467","Glioma__enh_1184","train","Glioma","","Glioma/enh_1184.png","Glioma__enh_1467","val","Glioma","","Glioma/enh_1467.png","9","0.999877","0.095238","flip_h","False","0.999606866","0.632915","1.017102","47.983514","125571","0.086803371","7259","False"
"188","499","Glioma__enh_1188","val","Glioma","","Glioma/enh_1188.png","Glioma__enh_1499","train","Glioma","","Glioma/enh_1499.png","8","0.999907","0.921053","flip_h","True","0.999730559","0.623013","0.989764","48.220168","127254","0.941163793","273","True"
"189","504","Glioma__enh_1189","train","Glioma","","Glioma/enh_1189.png","Glioma__enh_1504","val","Glioma","","Glioma/enh_1504.png","10","0.999896","0.467532","flip_h","False","0.999694453","0.613262","0.992251","48.198373","123818","0.468155418","5311","False"
"193","1070","Glioma__enh_1193","train","Glioma","","Glioma/enh_1193.png","Glioma__enh_676","test","Glioma","","Glioma/enh_676.png","9","0.999918","0.777778","flip_h","False","0.999735516","0.623138","1.016564","47.988113","123340","0.828696925","117","False"
"195","550","Glioma__enh_1195","train","Glioma","","Glioma/enh_1195.png","Glioma__enh_1550","val","Glioma","","Glioma/enh_1550.png","8","0.999887","0.756757","flip_h","True","0.999650277","0.610909","0.988767","48.228920","122400","0.730438521","1254","False"
"199","1058","Glioma__enh_1199","train","Glioma","","Glioma/enh_1199.png","Glioma__enh_664","test","Glioma","","Glioma/enh_664.png","6","0.999866","0.6875","flip_h","True","0.9995816","0.647949","1.028472","47.886955","128326","0.680486769","2258","False"
"204","383","Glioma__enh_1204","train","Glioma","","Glioma/enh_1204.png","Glioma__enh_1383","val","Glioma","","Glioma/enh_1383.png","7","0.999882","0.875","flip_h","True","0.99964394","0.619617","0.988665","48.229818","126042","0.896943574","263","False"
"205","385","Glioma__enh_1205","val","Glioma","","Glioma/enh_1205.png","Glioma__enh_1385","train","Glioma","","Glioma/enh_1385.png","8","0.999943","0.935484","flip_h","True","0.999792981","0.679668","1.073876","47.511721","131258","0.933824592","916","True"
"210","567","Glioma__enh_1210","train","Glioma","","Glioma/enh_1210.png","Glioma__enh_1567","val","Glioma","","Glioma/enh_1567.png","12","0.99993","0.841463","flip_h","False","0.999770788","0.67149","1.043047","47.764723","134992","0.901351624","489","True"
"211","320","Glioma__enh_1211","train","Glioma","","Glioma/enh_1211.png","Glioma__enh_1320","val","Glioma","","Glioma/enh_1320.png","4","0.999891","0.836364","flip_h","True","0.999628708","0.669365","1.056563","47.652896","130845","0.917832168","282","True"
"212","325","Glioma__enh_1212","val","Glioma","","Glioma/enh_1212.png","Glioma__enh_1325","train","Glioma","","Glioma/enh_1325.png","7","0.999889","0.829268","flip_h","True","0.999656957","0.656189","1.035204","47.830283","130656","0.860126084","355","False"
"214","1057","Glioma__enh_1214","val","Glioma","","Glioma/enh_1214.png","Glioma__enh_663","test","Glioma","","Glioma/enh_663.png","11","0.99987","0.957447","flip_h","False","0.999643531","0.629456","0.982913","48.280503","131482","0.924694708","222","True"
