"first_index","second_index","first_sample_id","first_split","first_class","first_source","first_image_path","second_sample_id","second_split","second_class","second_source","second_image_path","hamming_distance","pixel_correlation","mask_iou","transform","strong","full_pixel_correlation","full_image_mae","full_image_rmse","full_image_psnr","full_image_mismatch_pixels","full_mask_iou","full_mask_mismatch_pixels","likely_duplicate"
"4","947","Glioma__enh_1004","train","Glioma","","Glioma/enh_1004.png","Glioma__enh_553","test","Glioma","","Glioma/enh_553.png","11","0.999918","0.652174","flip_h","False","0.999743709","0.532387","0.948716","48.588077","104618","0.631506849","538","False"
"6","1207","Glioma__enh_1006","train","Glioma","","Glioma/enh_1006.png","Glioma__enh_813","train","Glioma","","Glioma/enh_813.png","9","0.999928","0.708333","flip_h","False","0.999797069","0.587353","0.962986","48.458407","121503","0.777698864","313","False"
"16","1208","Glioma__enh_1016","train","Glioma","","Glioma/enh_1016.png","Glioma__enh_814","train","Glioma","","Glioma/enh_814.png","12","0.999909","0.903226","flip_h","False","0.999719939","0.529579","0.9345","48.719214","105300","0.934832609","255","True"
"26","961","Glioma__enh_1026","train","Glioma","","Glioma/enh_1026.png","Glioma__enh_567","test","Glioma","","Glioma/enh_567.png","11","0.999881","0.770492","flip_h","False","0.999680026","0.522655","0.903677","49.010543","107371","0.78484577","1681","False"
"31","962","Glioma__enh_1031","train","Glioma","","Glioma/enh_1031.png","Glioma__enh_568","test","Glioma","","Glioma/enh_568.png","10","0.99992","0.795918","flip_h","False","0.999762644","0.478325","0.895665","49.087893","94113","0.807540984","1761","False"
"34","1219","Glioma__enh_1034","train","Glioma","","Glioma/enh_1034.png","Glioma__enh_825","train","Glioma","","Glioma/enh_825.png","8","0.999925","0.842105","flip_h","True","0.999807938","0.507862","0.88564","49.185655","105885","0.757337743","587","False"
"49","964","Glioma__enh_1049","train","Glioma","","Glioma/enh_1049.png","Glioma__enh_570","test","Glioma","","Glioma/enh_570.png","8","0.999885","0.444444","flip_h","True","0.999643593","0.539192","0.941864","48.651039","107253","0.513480089","1967","False"
"50","1220","Glioma__enh_1050","train","Glioma","","Glioma/enh_1050.png","Glioma__enh_826","train","Glioma","","Glioma/enh_826.png","7","0.999885","0.58","flip_h","True","0.999662016","0.533501","0.927416","48.785315","107339","0.577473553","2716","False"
"53","965","Glioma__enh_1053","val","Glioma","","Glioma/enh_1053.png","Glioma__enh_571","test","Glioma","","Glioma/enh_571.png","9","0.99989","0.521277","flip_h","False","0.999674757","0.514324","0.906774","48.980823","103738","0.541271989","2712","False"
"55","1221","Glioma__enh_1055","train","Glioma","","Glioma/enh_1055.png","Glioma__enh_827","train","Glioma","","Glioma/enh_827.png","12","0.999865","0.458333","flip_h","False","0.999648053","0.518257","0.90291","49.017914","106049","0.482401656","750","False"
"56","966","Glioma__enh_1056","train","Glioma","","Glioma/enh_1056.png","Glioma__enh_572","test","Glioma","","Glioma/enh_572.png","12","0.999882","0.896552","flip_h","False","0.9996851","0.466488","0.84916","49.551010","96512","0.942425936","103","True"
"59","1222","Glioma__enh_1059","train","Glioma","","Glioma/enh_1059.png","Glioma__enh_828","train","Glioma","","Glioma/enh_828.png","10","0.999916","0.067308","flip_h","False","0.999757898","0.54763","0.917557","48.878140","113778","0.071693632","12508","False"
"60","967","Glioma__enh_1060","train","Glioma","","Glioma/enh_1060.png","Glioma__enh_573","test","Glioma","","Glioma/enh_573.png","11","0.99988","0.956897","flip_h","False","0.999688907","0.536861","0.890649","49.136676","114153","0.957294181","637","True"
"70","1223","Glioma__enh_1070","val","Glioma","","Glioma/enh_1070.png","Glioma__enh_829","train","Glioma","","Glioma/enh_829.png","10","0.999887","0.742857","flip_h","False","0.999633459","0.539429","0.94837","48.591244","106658","0.769631236","531","False"
"71","1217","Glioma__enh_1071","train","Glioma","","Glioma/enh_1071.png","Glioma__enh_823","train","Glioma","","Glioma/enh_823.png","9","0.999855","0.857143","flip_h","False","0.999568623","0.532379","0.932482","48.737997","106610","0.909458962","246","True"
"84","1214","Glioma__enh_1084","val","Glioma","","Glioma/enh_1084.png","Glioma__enh_820","val","Glioma","","Glioma/enh_820.png","7","0.999893","0.759036","flip_h","True","0.999715441","0.526585","0.899403","49.051718","109243","0.792944785","1080","False"
"88","955","Glioma__enh_1088","train","Glioma","","Glioma/enh_1088.png","Glioma__enh_561","test","Glioma","","Glioma/enh_561.png","9","0.999906","1","flip_h","False","0.999728911","0.540451","0.935773","48.707392","108666","0.812888199","241","False"
"91","956","Glioma__enh_1091","train","Glioma","","Glioma/enh_1091.png","Glioma__enh_562","test","Glioma","","Glioma/enh_562.png","5","0.999891","0.21978","flip_h","True","0.999698082","0.501354","0.897679","49.068380","101119","0.220608575","4508","False"
"96","957","Glioma__enh_1096","train","Glioma","","Glioma/enh_1096.png","Glioma__enh_563","test","Glioma","","Glioma/enh_563.png","11","0.99986","0.945313","flip_h","False","0.999651827","0.507366","0.886368","49.178522","104769","0.925235906","618","True"
"97","1215","Glioma__enh_1097","train","Glioma","","Glioma/enh_1097.png","Glioma__enh_821","train","Glioma","","Glioma/enh_821.png","8","0.999843","0.906832","flip_h","True","0.999632327","0.532505","0.901834","49.028270","111933","0.923753666","780","True"
"100","958","Glioma__enh_1100","train","Glioma","","Glioma/enh_1100.png","Glioma__enh_564","test","Glioma","","Glioma/enh_564.png","10","0.999871","1","flip_h","False","0.999701834","0.523994","0.885315","49.188845","111339","0.980543319","106","True"
"107","959","Glioma__enh_1107","val","Glioma","","Glioma/enh_1107.png","Glioma__enh_565","test","Glioma","","Glioma/enh_565.png","7","0.999885","0.518519","flip_h","True","0.999723194","0.532032","0.891483","49.128539","112916","0.535529972","2340","False"
"136","1184","Glioma__enh_1136","val","Glioma","","Glioma/enh_1136.png","Glioma__enh_790","train","Glioma","","Glioma/enh_790.png","9","0.99987","0.915058","flip_h","False","0.999633285","0.52734","0.916815","48.885171","106527","0.937796099","1011","True"
"177","1190","Glioma__enh_1177","train","Glioma","","Glioma/enh_1177.png","Glioma__enh_796","train","Glioma","","Glioma/enh_796.png","7","0.999923","0.823529","flip_h","True","0.999755509","0.544376","0.947322","48.600851","107773","0.815240834","1028","False"
"182","431","Glioma__enh_1182","train","Glioma","","Glioma/enh_1182.png","Glioma__enh_1431","train","Glioma","","Glioma/enh_1431.png","10","0.999929","0.901099","flip_h","False","0.9997769","0.615719","0.994662","48.177290","123974","0.888484848","644","False"
"183","459","Glioma__enh_1183","train","Glioma","","Glioma/enh_1183.png","Glioma__enh_1459","train","Glioma","","Glioma/enh_1459.png","12","0.999813","0.86","flip_h","False","0.999470618","0.613087","0.987225","48.242481","124782","0.883207071","370","False"
"184","467","Glioma__enh_1184","train","Glioma","","Glioma/enh_1184.png","Glioma__enh_1467","val","Glioma","","Glioma/enh_1467.png","9","0.999877","0.095238","flip_h","False","0.999606866","0.632915","1.017102","47.983514","125571","0.086803371","7259","False"
"185","473","Glioma__enh_1185","train","Glioma","","Glioma/enh_1185.png","Glioma__enh_1473","train","Glioma","","Glioma/enh_1473.png","11","0.999738","0.851852","flip_h","False","0.999312391","0.626095","0.978878","48.316231","129313","0.778988544","791","False"
"186","487","Glioma__enh_1186","train","Glioma","","Glioma/enh_1186.png","Glioma__enh_1487","train","Glioma","","Glioma/enh_1487.png","3","0.99993","0.407407","flip_h","True","0.999758748","0.629623","1.020874","47.951364","123819","0.439187817","2762","False"
"187","494","Glioma__enh_1187","train","Glioma","","Glioma/enh_1187.png","Glioma__enh_1494","train","Glioma","","Glioma/enh_1494.png","5","0.999876","0.934579","flip_h","True","0.999615062","0.613541","0.995205","48.172554","122614","0.927323041","499","True"
"188","499","Glioma__enh_1188","val","Glioma","","Glioma/enh_1188.png","Glioma__enh_1499","train","Glioma","","Glioma/enh_1499.png","8","0.999907","0.921053","flip_h","True","0.999730559","0.623013","0.989764","48.220168","127254","0.941163793","273","True"
"189","504","Glioma__enh_1189","train","Glioma","","Glioma/enh_1189.png","Glioma__enh_1504","val","Glioma","","Glioma/enh_1504.png","10","0.999896","0.467532","flip_h","False","0.999694453","0.613262","0.992251","48.198373","123818","0.468155418","5311","False"
"190","517","Glioma__enh_1190","train","Glioma","","Glioma/enh_1190.png","Glioma__enh_1517","train","Glioma","","Glioma/enh_1517.png","7","0.999865","0.817391","flip_h","True","0.99960344","0.623638","1.003513","48.100345","125464","0.816876368","1339","False"
"191","530","Glioma__enh_1191","train","Glioma","","Glioma/enh_1191.png","Glioma__enh_1530","train","Glioma","","Glioma/enh_1530.png","4","0.999907","0.904762","flip_h","True","0.999689066","0.66177","1.054783","47.667538","128780","0.932685116","90","True"
"193","1070","Glioma__enh_1193","train","Glioma","","Glioma/enh_1193.png","Glioma__enh_676","test","Glioma","","Glioma/enh_676.png","9","0.999918","0.777778","flip_h","False","0.999735516","0.623138","1.016564","47.988113","123340","0.828696925","117","False"
"194","545","Glioma__enh_1194","train","Glioma","","Glioma/enh_1194.png","Glioma__enh_1545","train","Glioma","","Glioma/enh_1545.png","9","0.999916","0.918182","flip_h","False","0.999746217","0.648754","1.025446","47.912544","129306","0.935750544","443","True"
"195","550","Glioma__enh_1195","train","Glioma","","Glioma/enh_1195.png","Glioma__enh_1550","val","Glioma","","Glioma/enh_1550.png","8","0.999887","0.756757","flip_h","True","0.999650277","0.610909","0.988767","48.228920","122400","0.730438521","1254","False"
"196","554","Glioma__enh_1196","train","Glioma","","Glioma/enh_1196.png","Glioma__enh_1554","train","Glioma","","Glioma/enh_1554.png","5","0.999905","0.712644","flip_h","True","0.999670773","0.67675","1.072584","47.522177","130898","0.7056423","1659","False"
"197","558","Glioma__enh_1197","train","Glioma","","Glioma/enh_1197.png","Glioma__enh_1558","train","Glioma","","Glioma/enh_1558.png","1","0.999929","0.908602","flip_h","True","0.999722447","0.686981","1.094277","47.348262","130085","0.91522272","1003","True"
"198","562","Glioma__enh_1198","train","Glioma","","Glioma/enh_1198.png","Glioma__enh_1562","train","Glioma","","Glioma/enh_1562.png","4","0.999923","0.862745","flip_h","True","0.999763189","0.633369","1.002157","48.112090","127804","0.888661094","706","False"
"199","1058","Glioma__enh_1199","train","Glioma","","Glioma/enh_1199.png","Glioma__enh_664","test","Glioma","","Glioma/enh_664.png","6","0.999866","0.6875","flip_h","True","0.9995816","0.647949","1.028472","47.886955","128326","0.680486769","2258","False"
"200","361","Glioma__enh_1200","train","Glioma","","Glioma/enh_1200.png","Glioma__enh_1361","train","Glioma","","Glioma/enh_1361.png","5","0.999919","0.712644","flip_h","True","0.999726287","0.64756","1.042208","47.771718","126314","0.714360955","1627","False"
"202","367","Glioma__enh_1202","train","Glioma","","Glioma/enh_1202.png","Glioma__enh_1367","train","Glioma","","Glioma/enh_1367.png","7","0.999896","0.747475","flip_h","True","0.999723451","0.572681","0.930338","48.757992","119726","0.777350016","1388","False"
"203","380","Glioma__enh_1203","train","Glioma","","Glioma/enh_1203.png","Glioma__enh_1380","train","Glioma","","Glioma/enh_1380.png","10","0.999877","0.913043","flip_h","False","0.999654477","0.616837","0.983173","48.278205","126375","0.922110553","341","True"
"204","383","Glioma__enh_1204","train","Glioma","","Glioma/enh_1204.png","Glioma__enh_1383","val","Glioma","","Glioma/enh_1383.png","7","0.999882","0.875","flip_h","True","0.99964394","0.619617","0.988665","48.229818","126042","0.896943574","263","False"
"205","385","Glioma__enh_1205","val","Glioma","","Glioma/enh_1205.png","Glioma__enh_1385","train","Glioma","","Glioma/enh_1385.png","8","0.999943","0.935484","flip_h","True","0.999792981","0.679668","1.073876","47.511721","131258","0.933824592","916","True"
"207","409","Glioma__enh_1207","train","Glioma","","Glioma/enh_1207.png","Glioma__enh_1409","train","Glioma","","Glioma/enh_1409.png","9","0.99993","0.695238","flip_h","False","0.99978631","0.6092","0.985386","48.258677","123598","0.703004681","1967","False"
"208","419","Glioma__enh_1208","train","Glioma","","Glioma/enh_1208.png","Glioma__enh_1419","train","Glioma","","Glioma/enh_1419.png","6","0.999897","0.920455","flip_h","True","0.999702839","0.595684","0.968279","48.410790","121778","0.903788014","541","True"
"209","564","Glioma__enh_1209","train","Glioma","","Glioma/enh_1209.png","Glioma__enh_1564","train","Glioma","","Glioma/enh_1564.png","10","0.999915","0.907692","flip_h","False","0.999721908","0.672825","1.036896","47.816099","135937","0.905362776","390","True"
"210","567","Glioma__enh_1210","train","Glioma","","Glioma/enh_1210.png","Glioma__enh_1567","val","Glioma","","Glioma/enh_1567.png","12","0.99993","0.841463","flip_h","False","0.999770788","0.67149","1.043047","47.764723","134992","0.901351624","489","True"
"211","320","Glioma__enh_1211","train","Glioma","","Glioma/enh_1211.png","Glioma__enh_1320","val","Glioma","","Glioma/enh_1320.png","4","0.999891","0.836364","flip_h","True","0.999628708","0.669365","1.056563","47.652896","130845","0.917832168","282","True"
"212","325","Glioma__enh_1212","val","Glioma","","Glioma/enh_1212.png","Glioma__enh_1325","train","Glioma","","Glioma/enh_1325.png","7","0.999889","0.829268","flip_h","True","0.999656957","0.656189","1.035204","47.830283","130656","0.860126084","355","False"
"213","329","Glioma__enh_1213","train","Glioma","","Glioma/enh_1213.png","Glioma__enh_1329","train","Glioma","","Glioma/enh_1329.png","4","0.999909","0.864865","flip_h","True","0.999684075","0.647659","1.040611","47.785038","126523","0.833473154","794","False"
"214","1057","Glioma__enh_1214","val","Glioma","","Glioma/enh_1214.png","Glioma__enh_663","test","Glioma","","Glioma/enh_663.png","11","0.99987","0.957447","flip_h","False","0.999643531","0.629456","0.982913","48.280503","131482","0.924694708","222","True"
"215","346","Glioma__enh_1215","train","Glioma","","Glioma/enh_1215.png","Glioma__enh_1346","train","Glioma","","Glioma/enh_1346.png","10","0.999932","0.9375","flip_h","False","0.999791513","0.625004","1.001496","48.117818","126712","0.938274265","573","True"
"216","573","Glioma__enh_1216","train","Glioma","","Glioma/enh_1216.png","Glioma__enh_1573","train","Glioma","","Glioma/enh_1573.png","7","0.999929","0.774194","flip_h","True","0.999777474","0.670246","1.035387","47.828753","135463","0.827891533","311","False"
