"component_id","component_size","crosses_splits","splits","sample_id","split","tumor_type"
"Glioma__enh_1016","2","False","train","Glioma__enh_1016","train","Glioma"
"Glioma__enh_1016","2","False","train","Glioma__enh_814","train","Glioma"
"Glioma__enh_1056","2","True","test,train","Glioma__enh_1056","train","Glioma"
"Glioma__enh_1056","2","True","test,train","Glioma__enh_572","test","Glioma"
"Glioma__enh_1060","2","True","test,train","Glioma__enh_1060","train","Glioma"
"Glioma__enh_1060","2","True","test,train","Glioma__enh_573","test","Glioma"
"Glioma__enh_1071","2","False","train","Glioma__enh_1071","train","Glioma"
"Glioma__enh_1071","2","False","train","Glioma__enh_823","train","Glioma"
"Glioma__enh_1096","2","True","test,train","Glioma__enh_1096","train","Glioma"
"Glioma__enh_1096","2","True","test,train","Glioma__enh_563","test","Glioma"
"Glioma__enh_1097","2","False","train","Glioma__enh_1097","train","Glioma"
"Glioma__enh_1097","2","False","train","Glioma__enh_821","train","Glioma"
"Glioma__enh_1100","2","True","test,train","Glioma__enh_1100","train","Glioma"
"Glioma__enh_1100","2","True","test,train","Glioma__enh_564","test","Glioma"
"Glioma__enh_1136","2","True","train,val","Glioma__enh_1136","val","Glioma"
"Glioma__enh_1136","2","True","train,val","Glioma__enh_790","train","Glioma"
"Glioma__enh_1187","2","False","train","Glioma__enh_1187","train","Glioma"
"Glioma__enh_1187","2","False","train","Glioma__enh_1494","train","Glioma"
"Glioma__enh_1188","2","True","train,val","Glioma__enh_1188","val","Glioma"
"Glioma__enh_1188","2","True","train,val","Glioma__enh_1499","train","Glioma"
"Glioma__enh_1191","2","False","train","Glioma__enh_1191","train","Glioma"
"Glioma__enh_1191","2","False","train","Glioma__enh_1530","train","Glioma"
"Glioma__enh_1194","2","False","train","Glioma__enh_1194","train","Glioma"
"Glioma__enh_1194","2","False","train","Glioma__enh_1545","train","Glioma"
"Glioma__enh_1197","2","False","train","Glioma__enh_1197","train","Glioma"
"Glioma__enh_1197","2","False","train","Glioma__enh_1558","train","Glioma"
"Glioma__enh_1203","2","False","train","Glioma__enh_1203","train","Glioma"
"Glioma__enh_1203","2","False","train","Glioma__enh_1380","train","Glioma"
"Glioma__enh_1205","2","True","train,val","Glioma__enh_1205","val","Glioma"
"Glioma__enh_1205","2","True","train,val","Glioma__enh_1385","train","Glioma"
"Glioma__enh_1208","2","False","train","Glioma__enh_1208","train","Glioma"
"Glioma__enh_1208","2","False","train","Glioma__enh_1419","train","Glioma"
"Glioma__enh_1209","2","False","train","Glioma__enh_1209","train","Glioma"
"Glioma__enh_1209","2","False","train","Glioma__enh_1564","train","Glioma"
"Glioma__enh_1210","2","True","train,val","Glioma__enh_1210","train","Glioma"
"Glioma__enh_1210","2","True","train,val","Glioma__enh_1567","val","Glioma"
"Glioma__enh_1211","2","True","train,val","Glioma__enh_1211","train","Glioma"
"Glioma__enh_1211","2","True","train,val","Glioma__enh_1320","val","Glioma"
"Glioma__enh_1214","2","True","test,val","Glioma__enh_1214","val","Glioma"
"Glioma__enh_1214","2","True","test,val","Glioma__enh_663","test","Glioma"
"Glioma__enh_1215","2","False","train","Glioma__enh_1215","train","Glioma"
"Glioma__enh_1215","2","False","train","Glioma__enh_1346","train","Glioma"
"Glioma__enh_1217","2","False","train","Glioma__enh_1217","train","Glioma"
"Glioma__enh_1217","2","False","train","Glioma__enh_1577","train","Glioma"
"Glioma__enh_1218","2","True","test,train","Glioma__enh_1218","train","Glioma"
"Glioma__enh_1218","2","True","test,train","Glioma__enh_687","test","Glioma"
"Glioma__enh_1222","2","False","train","Glioma__enh_1222","train","Glioma"
"Glioma__enh_1222","2","False","train","Glioma__enh_1243","train","Glioma"
"Glioma__enh_1227","2","True","train,val","Glioma__enh_1227","val","Glioma"
"Glioma__enh_1227","2","True","train,val","Glioma__enh_1281","train","Glioma"
"Glioma__enh_1228","2","False","train","Glioma__enh_1228","train","Glioma"
"Glioma__enh_1228","2","False","train","Glioma__enh_1286","train","Glioma"
"Glioma__enh_1244","2","True","test,train","Glioma__enh_1244","train","Glioma"
"Glioma__enh_1244","2","True","test,train","Glioma__enh_637","test","Glioma"
"Glioma__enh_1247","2","True","test,train","Glioma__enh_1247","train","Glioma"
"Glioma__enh_1247","2","True","test,train","Glioma__enh_638","test","Glioma"
"Glioma__enh_1273","2","True","test,train","Glioma__enh_1273","train","Glioma"
"Glioma__enh_1273","2","True","test,train","Glioma__enh_642","test","Glioma"
"Glioma__enh_1279","2","True","test,train","Glioma__enh_1279","train","Glioma"
"Glioma__enh_1279","2","True","test,train","Glioma__enh_643","test","Glioma"
"Glioma__enh_1283","2","True","test,train","Glioma__enh_1283","train","Glioma"
"Glioma__enh_1283","2","True","test,train","Glioma__enh_644","test","Glioma"
"Glioma__enh_1287","2","True","test,val","Glioma__enh_1287","val","Glioma"
"Glioma__enh_1287","2","True","test,val","Glioma__enh_645","test","Glioma"
"Glioma__enh_1321","2","True","test,train","Glioma__enh_1321","train","Glioma"
"Glioma__enh_1321","2","True","test,train","Glioma__enh_622","test","Glioma"
"Glioma__enh_1341","2","True","test,train","Glioma__enh_1341","train","Glioma"
"Glioma__enh_1341","2","True","test,train","Glioma__enh_626","test","Glioma"
"Glioma__enh_1349","2","True","test,train","Glioma__enh_1349","train","Glioma"
"Glioma__enh_1349","2","True","test,train","Glioma__enh_627","test","Glioma"
"Glioma__enh_1579","2","True","test,train","Glioma__enh_1579","train","Glioma"
"Glioma__enh_1579","2","True","test,train","Glioma__enh_630","test","Glioma"
"Glioma__enh_1609","2","True","train,val","Glioma__enh_1609","val","Glioma"
"Glioma__enh_1609","2","True","train,val","Glioma__enh_1882","train","Glioma"
"Glioma__enh_1614","2","True","test,train","Glioma__enh_1614","train","Glioma"
"Glioma__enh_1614","2","True","test,train","Glioma__enh_782","test","Glioma"
"Glioma__enh_1616","2","True","test,train","Glioma__enh_1616","train","Glioma"
"Glioma__enh_1616","2","True","test,train","Glioma__enh_784","test","Glioma"
"Glioma__enh_550","2","True","test,train","Glioma__enh_550","test","Glioma"
"Glioma__enh_550","2","True","test,train","Glioma__enh_980","train","Glioma"
"Glioma__enh_555","2","False","test","Glioma__enh_555","test","Glioma"
"Glioma__enh_555","2","False","test","Glioma__enh_599","test","Glioma"
"Glioma__enh_560","2","True","test,train","Glioma__enh_560","test","Glioma"
"Glioma__enh_560","2","True","test,train","Glioma__enh_879","train","Glioma"
"Glioma__enh_633","2","False","test","Glioma__enh_633","test","Glioma"
"Glioma__enh_633","2","False","test","Glioma__enh_649","test","Glioma"
"Glioma__enh_798","2","False","train","Glioma__enh_798","train","Glioma"
"Glioma__enh_798","2","False","train","Glioma__enh_832","train","Glioma"
"Glioma__enh_806","2","False","train","Glioma__enh_806","train","Glioma"
"Glioma__enh_806","2","False","train","Glioma__enh_945","train","Glioma"
"Glioma__enh_819","2","False","train","Glioma__enh_819","train","Glioma"
"Glioma__enh_819","2","False","train","Glioma__enh_878","train","Glioma"
"Meningioma__enh_1000","2","True","test,train","Meningioma__enh_1000","test","Meningioma"
"Meningioma__enh_1000","2","True","test,train","Meningioma__enh_1876","train","Meningioma"
"Meningioma__enh_1012","2","False","train","Meningioma__enh_1012","train","Meningioma"
"Meningioma__enh_1012","2","False","train","Meningioma__enh_1386","train","Meningioma"
"Meningioma__enh_1018","2","False","train","Meningioma__enh_1018","train","Meningioma"
"Meningioma__enh_1018","2","False","train","Meningioma__enh_1279","train","Meningioma"
"Meningioma__enh_1041","2","False","train","Meningioma__enh_1041","train","Meningioma"
"Meningioma__enh_1041","2","False","train","Meningioma__enh_1376","train","Meningioma"
"Meningioma__enh_1042","2","False","train","Meningioma__enh_1042","train","Meningioma"
"Meningioma__enh_1042","2","False","train","Meningioma__enh_1377","train","Meningioma"
"Meningioma__enh_1043","2","False","val","Meningioma__enh_1043","val","Meningioma"
"Meningioma__enh_1043","2","False","val","Meningioma__enh_1378","val","Meningioma"
"Meningioma__enh_1044","2","False","train","Meningioma__enh_1044","train","Meningioma"
"Meningioma__enh_1044","2","False","train","Meningioma__enh_1380","train","Meningioma"
"Meningioma__enh_1048","2","False","train","Meningioma__enh_1048","train","Meningioma"
"Meningioma__enh_1048","2","False","train","Meningioma__enh_1387","train","Meningioma"
"Meningioma__enh_1049","2","False","train","Meningioma__enh_1049","train","Meningioma"
"Meningioma__enh_1049","2","False","train","Meningioma__enh_1388","train","Meningioma"
"Meningioma__enh_1053","2","True","train,val","Meningioma__enh_1053","train","Meningioma"
"Meningioma__enh_1053","2","True","train,val","Meningioma__enh_1395","val","Meningioma"
"Meningioma__enh_1058","2","True","test,train","Meningioma__enh_1058","train","Meningioma"
"Meningioma__enh_1058","2","True","test,train","Meningioma__enh_832","test","Meningioma"
"Meningioma__enh_1061","2","False","train","Meningioma__enh_1061","train","Meningioma"
"Meningioma__enh_1061","2","False","train","Meningioma__enh_1404","train","Meningioma"
"Meningioma__enh_1062","2","False","train","Meningioma__enh_1062","train","Meningioma"
"Meningioma__enh_1062","2","False","train","Meningioma__enh_1407","train","Meningioma"
"Meningioma__enh_1071","2","True","train,val","Meningioma__enh_1071","val","Meningioma"
"Meningioma__enh_1071","2","True","train,val","Meningioma__enh_1419","train","Meningioma"
"Meningioma__enh_1072","2","True","test,train","Meningioma__enh_1072","train","Meningioma"
"Meningioma__enh_1072","2","True","test,train","Meningioma__enh_838","test","Meningioma"
"Meningioma__enh_1073","2","False","train","Meningioma__enh_1073","train","Meningioma"
"Meningioma__enh_1073","2","False","train","Meningioma__enh_1255","train","Meningioma"
"Meningioma__enh_1075","2","False","train","Meningioma__enh_1075","train","Meningioma"
"Meningioma__enh_1075","2","False","train","Meningioma__enh_1257","train","Meningioma"
"Meningioma__enh_1076","2","True","train,val","Meningioma__enh_1076","val","Meningioma"
"Meningioma__enh_1076","2","True","train,val","Meningioma__enh_1259","train","Meningioma"
"Meningioma__enh_1081","2","True","test,train","Meningioma__enh_1081","train","Meningioma"
"Meningioma__enh_1081","2","True","test,train","Meningioma__enh_804","test","Meningioma"
"Meningioma__enh_1086","2","True","test,train","Meningioma__enh_1086","train","Meningioma"
"Meningioma__enh_1086","2","True","test,train","Meningioma__enh_806","test","Meningioma"
"Meningioma__enh_1091","2","False","train","Meningioma__enh_1091","train","Meningioma"
"Meningioma__enh_1091","2","False","train","Meningioma__enh_1342","train","Meningioma"
"Meningioma__enh_1094","2","True","test,train","Meningioma__enh_1094","train","Meningioma"
"Meningioma__enh_1094","2","True","test,train","Meningioma__enh_827","test","Meningioma"
"Meningioma__enh_1095","2","True","train,val","Meningioma__enh_1095","train","Meningioma"
"Meningioma__enh_1095","2","True","train,val","Meningioma__enh_1345","val","Meningioma"
"Meningioma__enh_1096","2","True","train,val","Meningioma__enh_1096","val","Meningioma"
"Meningioma__enh_1096","2","True","train,val","Meningioma__enh_1346","train","Meningioma"
"Meningioma__enh_1100","2","True","test,train","Meningioma__enh_1100","train","Meningioma"
"Meningioma__enh_1100","2","True","test,train","Meningioma__enh_829","test","Meningioma"
"Meningioma__enh_1133","2","False","train","Meningioma__enh_1133","train","Meningioma"
"Meningioma__enh_1133","2","False","train","Meningioma__enh_1291","train","Meningioma"
"Meningioma__enh_1162","2","True","test,val","Meningioma__enh_1162","val","Meningioma"
"Meningioma__enh_1162","2","True","test,val","Meningioma__enh_833","test","Meningioma"
