"first_index","second_index","first_sample_id","first_split","first_class","second_sample_id","second_split","second_class","hamming_distance","pixel_correlation","mask_iou","transform","full_pixel_correlation","full_image_mae","full_image_rmse","full_mask_iou","full_mask_mismatch_pixels","full_verified_likely_duplicate","full_image_psnr","full_image_mismatch_pixels"
"223","443","Glioma__enh_316","train","Glioma","Glioma__enh_634","train","Glioma","11","0.983553","0","identity","0.975358829","25.498207","36.471332","0","3581","False","16.891771","260491"
"224","878","Glioma__enh_319","train","Glioma","Glioma__enh_1235","train","Glioma","10","0.988575","0.836735","flip_h","0.975880083","19.742554","29.217335","0.867724003","809","False","18.817992","259943"
"280","5106","Glioma__enh_402","train","Glioma","Meningioma__enh_880","val","Meningioma","10","0.974589","0.833333","flip_h","","","","","","","17.347566","260714"
"290","5180","Glioma__enh_416","train","Glioma","Meningioma__enh_1474","val","Meningioma","12","0.985683","0.89011","identity","0.976479897","21.194344","30.026749","0.868001357","778","False","18.580637","259926"
"301","2440","Glioma__enh_430","train","Glioma","Meningioma__enh_1706","train","Meningioma","11","0.982851","0.894737","flip_h","0.972139025","19.822479","27.560979","0.914446003","610","False","19.324911","259852"
"301","6193","Glioma__enh_430","train","Glioma","Meningioma__enh_1486","test","Meningioma","12","0.982949","0.884956","identity","0.972244498","19.498661","27.232776","0.910140845","638","False","19.428965","259728"
"308","2446","Glioma__enh_443","train","Glioma","Meningioma__enh_1714","train","Meningioma","9","0.981475","0.919075","flip_h","0.972258574","22.275024","30.715528","0.923242661","855","False","18.383644","260380"
"308","6215","Glioma__enh_443","train","Glioma","Meningioma__enh_1633","test","Meningioma","11","0.981584","0.919075","identity","0.972415669","21.894482","30.36186","0.91630309","940","False","18.484236","260124"
"328","5183","Glioma__enh_472","train","Glioma","Meningioma__enh_1523","val","Meningioma","12","0.987533","0.868421","identity","0.979091429","17.153912","24.846805","0.863422074","985","False","20.225392","259869"
"332","2317","Glioma__enh_479","train","Glioma","Meningioma__enh_1531","train","Meningioma","12","0.983982","0.846154","identity","0.974818308","19.532764","27.876072","0.875152501","614","False","19.226172","259796"
"352","6201","Glioma__enh_504","train","Glioma","Meningioma__enh_1555","test","Meningioma","12","0.984358","0.857143","identity","0.977359467","17.873287","27.142501","0.829301814","621","False","19.457806","259253"
"353","2477","Glioma__enh_505","train","Glioma","Meningioma__enh_1763","train","Meningioma","12","0.986308","0.88","flip_h","0.977544311","19.877392","28.64213","0.869700103","630","False","18.990698","260203"
"364","2348","Glioma__enh_525","train","Glioma","Meningioma__enh_1576","train","Meningioma","11","0.986706","0.951923","identity","0.975974548","18.894508","26.703343","0.931566337","457","False","19.599491","259700"
"374","626","Glioma__enh_537","train","Glioma","Glioma__enh_882","train","Glioma","9","0.999921","0","flip_h","0.999701594","0.590008","1.024017","0","6349","False","47.924661","111772"
"382","411","Glioma__enh_548","train","Glioma","Glioma__enh_589","train","Glioma","12","0.999889","0","flip_h","0.9997491","0.541668","0.899034","0","2098","False","49.055283","115615"
"383","691","Glioma__enh_550","train","Glioma","Glioma__enh_980","train","Glioma","7","0.999907","0.928571","flip_h","0.999724626","0.593178","0.981394","0.927743626","717","True","48.293933","119472"
"384","696","Glioma__enh_551","train","Glioma","Glioma__enh_986","train","Glioma","6","0.999905","0.821429","flip_h","0.999723101","0.504478","0.898637","0.80112202","709","False","49.059117","102093"
"386","709","Glioma__enh_553","train","Glioma","Glioma__enh_1004","train","Glioma","11","0.999918","0.652174","flip_h","0.999743709","0.532387","0.948716","0.631506849","538","False","48.588077","104618"
"387","419","Glioma__enh_555","train","Glioma","Glioma__enh_599","train","Glioma","12","0.999907","0.924855","flip_h","0.999728301","0.549435","0.941761","0.909090909","1021","True","48.651992","110618"
"390","623","Glioma__enh_560","train","Glioma","Glioma__enh_879","train","Glioma","12","0.999885","0.934066","flip_h","0.999675755","0.506321","0.910783","0.924898512","444","True","48.942509","101310"
"392","5857","Glioma__enh_565","train","Glioma","Glioma__enh_1107","test","Glioma","7","0.999885","0.518519","flip_h","0.999723194","0.532032","0.891483","0.535529972","2340","False","49.128539","112916"
"394","725","Glioma__enh_567","train","Glioma","Glioma__enh_1026","train","Glioma","12","0.999881","0.770492","flip_h","0.999680026","0.522655","0.903677","0.78484577","1681","False","49.010543","107371"
"395","729","Glioma__enh_568","train","Glioma","Glioma__enh_1031","train","Glioma","10","0.99992","0.795918","flip_h","0.999762644","0.478325","0.895665","0.807540984","1761","False","49.087893","94113"
"397","744","Glioma__enh_570","train","Glioma","Glioma__enh_1049","train","Glioma","12","0.999885","0.444444","flip_h","0.999643593","0.539192","0.941864","0.513480089","1967","False","48.651039","107253"
"398","748","Glioma__enh_571","train","Glioma","Glioma__enh_1053","train","Glioma","12","0.99989","0.521277","flip_h","0.999674757","0.514324","0.906774","0.541271989","2712","False","48.980823","103738"
"400","4840","Glioma__enh_573","train","Glioma","Glioma__enh_1060","val","Glioma","11","0.99988","0.956897","flip_h","0.999688907","0.536861","0.890649","0.957294181","637","True","49.136676","114153"
"422","577","Glioma__enh_602","train","Glioma","Glioma__enh_816","train","Glioma","8","0.999919","0.779412","flip_h","0.999764853","0.577774","0.966195","0.790140845","1788","False","48.429508","116634"
"423","581","Glioma__enh_603","train","Glioma","Glioma__enh_824","train","Glioma","9","0.999889","0.066667","flip_h","0.999693984","0.544876","0.929794","0.09006764","2556","False","48.763067","111484"
"428","557","Glioma__enh_611","train","Glioma","Glioma__enh_791","train","Glioma","10","0.999912","0.888889","flip_h","0.999725803","0.513763","0.924127","0.887997209","321","False","48.816166","101798"
