"first_index","second_index","first_sample_id","first_split","first_class","second_sample_id","second_split","second_class","hamming_distance","pixel_correlation","mask_iou","transform","full_pixel_correlation","full_image_mae","full_image_rmse","full_mask_iou","full_mask_mismatch_pixels","full_verified_likely_duplicate"
"383","691","Glioma__enh_550","train","Glioma","Glioma__enh_980","train","Glioma","7","0.999907","0.928571","flip_h","0.999724626","0.593178","0.981394","0.927743626","717","True"
"387","419","Glioma__enh_555","train","Glioma","Glioma__enh_599","train","Glioma","12","0.999907","0.924855","flip_h","0.999728301","0.549435","0.941761","0.909090909","1021","True"
"390","623","Glioma__enh_560","train","Glioma","Glioma__enh_879","train","Glioma","12","0.999885","0.934066","flip_h","0.999675755","0.506321","0.910783","0.924898512","444","True"
"400","4840","Glioma__enh_573","train","Glioma","Glioma__enh_1060","val","Glioma","11","0.99988","0.956897","flip_h","0.999688907","0.536861","0.890649","0.957294181","637","True"
"438","5896","Glioma__enh_622","train","Glioma","Glioma__enh_1321","test","Glioma","7","0.999931","1","flip_h","0.999744637","0.680023","1.083029","0.958597764","137","True"
"440","5899","Glioma__enh_627","train","Glioma","Glioma__enh_1349","test","Glioma","4","0.999935","0.921429","flip_h","0.999787772","0.643005","1.02747","0.944620971","488","True"
"441","1111","Glioma__enh_630","train","Glioma","Glioma__enh_1579","train","Glioma","8","0.999933","0.933333","flip_h","0.999796293","0.65876","1.018929","0.914059814","250","True"
"445","884","Glioma__enh_637","train","Glioma","Glioma__enh_1244","train","Glioma","6","0.999891","0.891892","flip_h","0.999637361","0.645039","1.031437","0.91700448","389","True"
"450","903","Glioma__enh_642","train","Glioma","Glioma__enh_1273","train","Glioma","9","0.999895","0.905028","flip_h","0.999643629","0.653957","1.039872","0.900210822","1136","True"
"451","906","Glioma__enh_643","train","Glioma","Glioma__enh_1279","train","Glioma","9","0.9999","0.890625","flip_h","0.999694583","0.638035","1.002722","0.924272324","307","True"
"452","909","Glioma__enh_644","train","Glioma","Glioma__enh_1283","train","Glioma","5","0.999915","0.921569","flip_h","0.999722199","0.6684","1.04221","0.953167217","156","True"
"453","913","Glioma__enh_645","train","Glioma","Glioma__enh_1287","train","Glioma","12","0.999929","0.923077","flip_h","0.999801448","0.61689","0.979001","0.959173127","237","True"
"457","4782","Glioma__enh_649","train","Glioma","Glioma__enh_633","val","Glioma","12","0.999886","0.896552","flip_h","0.999639696","0.641918","1.023305","0.906435911","173","True"
"468","5874","Glioma__enh_663","train","Glioma","Glioma__enh_1214","test","Glioma","11","0.99987","0.957447","flip_h","0.999643531","0.629456","0.982913","0.924694708","222","True"
"556","807","Glioma__enh_790","train","Glioma","Glioma__enh_1136","train","Glioma","9","0.99987","0.915058","flip_h","0.999633285","0.52734","0.916815","0.937796099","1011","True"
"564","588","Glioma__enh_798","train","Glioma","Glioma__enh_832","train","Glioma","11","0.999881","0.894737","flip_h","0.999634238","0.544868","0.944473","0.944391635","468","True"
"575","5847","Glioma__enh_814","train","Glioma","Glioma__enh_1016","test","Glioma","12","0.999909","0.903226","flip_h","0.999719939","0.529579","0.9345","0.934832609","255","True"
"578","622","Glioma__enh_819","train","Glioma","Glioma__enh_878","train","Glioma","7","0.999898","0.923077","flip_h","0.999709989","0.512798","0.917871","0.902352344","577","True"
"579","5856","Glioma__enh_821","train","Glioma","Glioma__enh_1097","test","Glioma","10","0.999843","0.906832","flip_h","0.999632327","0.532505","0.901834","0.923753666","780","True"
"842","1049","Glioma__enh_1187","train","Glioma","Glioma__enh_1494","train","Glioma","7","0.999876","0.934579","flip_h","0.999615062","0.613541","0.995205","0.927323041","499","True"
"843","1054","Glioma__enh_1188","train","Glioma","Glioma__enh_1499","train","Glioma","8","0.999907","0.921053","flip_h","0.999730559","0.623013","0.989764","0.941163793","273","True"
"845","1075","Glioma__enh_1191","train","Glioma","Glioma__enh_1530","train","Glioma","7","0.999907","0.904762","flip_h","0.999689066","0.66177","1.054783","0.932685116","90","True"
"847","1085","Glioma__enh_1194","train","Glioma","Glioma__enh_1545","train","Glioma","9","0.999916","0.918182","flip_h","0.999746217","0.648754","1.025446","0.935750544","443","True"
"850","4922","Glioma__enh_1197","train","Glioma","Glioma__enh_1558","val","Glioma","1","0.999929","0.908602","flip_h","0.999722447","0.686981","1.094277","0.91522272","1003","True"
"856","975","Glioma__enh_1203","train","Glioma","Glioma__enh_1380","train","Glioma","10","0.999877","0.913043","flip_h","0.999654477","0.616837","0.983173","0.922110553","341","True"
"857","5904","Glioma__enh_1205","train","Glioma","Glioma__enh_1385","test","Glioma","8","0.999943","0.935484","flip_h","0.999792981","0.679668","1.073876","0.933824592","916","True"
"860","997","Glioma__enh_1208","train","Glioma","Glioma__enh_1419","train","Glioma","6","0.999897","0.920455","flip_h","0.999702839","0.595684","0.968279","0.903788014","541","True"
"862","936","Glioma__enh_1211","train","Glioma","Glioma__enh_1320","train","Glioma","8","0.999891","0.836364","flip_h","0.999628708","0.669365","1.056563","0.917832168","282","True"
"865","5898","Glioma__enh_1215","train","Glioma","Glioma__enh_1346","test","Glioma","12","0.999932","0.9375","flip_h","0.999791513","0.625004","1.001496","0.938274265","573","True"
"867","5926","Glioma__enh_1217","train","Glioma","Glioma__enh_1577","test","Glioma","11","0.999923","0.890411","flip_h","0.999754089","0.692211","1.052216","0.911063373","414","True"
"868","4788","Glioma__enh_1218","train","Glioma","Glioma__enh_687","val","Glioma","12","0.999931","0.916667","flip_h","0.999770418","0.647892","1.029256","0.932896521","297","True"
"872","907","Glioma__enh_1227","train","Glioma","Glioma__enh_1281","train","Glioma","6","0.999928","0.884615","flip_h","0.999759207","0.639042","1.025406","0.912990196","142","True"
"883","5875","Glioma__enh_1243","train","Glioma","Glioma__enh_1222","test","Glioma","3","0.999888","0.97619","flip_h","0.99962518","0.651703","1.038941","0.940660112","169","True"
