"first_index","second_index","first_sample_id","first_split","first_class","second_sample_id","second_split","second_class","hamming_distance","pixel_correlation","mask_iou","transform","full_pixel_correlation","full_image_mae","full_image_rmse","full_mask_iou","full_mask_mismatch_pixels","full_verified_likely_duplicate"
"400","4840","Glioma__enh_573","train","Glioma","Glioma__enh_1060","val","Glioma","11","0.99988","0.956897","flip_h","0.999688907","0.536861","0.890649","0.957294181","637","True"
"438","5896","Glioma__enh_622","train","Glioma","Glioma__enh_1321","test","Glioma","7","0.999931","1","flip_h","0.999744637","0.680023","1.083029","0.958597764","137","True"
"440","5899","Glioma__enh_627","train","Glioma","Glioma__enh_1349","test","Glioma","4","0.999935","0.921429","flip_h","0.999787772","0.643005","1.02747","0.944620971","488","True"
"457","4782","Glioma__enh_649","train","Glioma","Glioma__enh_633","val","Glioma","12","0.999886","0.896552","flip_h","0.999639696","0.641918","1.023305","0.906435911","173","True"
"468","5874","Glioma__enh_663","train","Glioma","Glioma__enh_1214","test","Glioma","11","0.99987","0.957447","flip_h","0.999643531","0.629456","0.982913","0.924694708","222","True"
"575","5847","Glioma__enh_814","train","Glioma","Glioma__enh_1016","test","Glioma","12","0.999909","0.903226","flip_h","0.999719939","0.529579","0.9345","0.934832609","255","True"
"579","5856","Glioma__enh_821","train","Glioma","Glioma__enh_1097","test","Glioma","10","0.999843","0.906832","flip_h","0.999632327","0.532505","0.901834","0.923753666","780","True"
"850","4922","Glioma__enh_1197","train","Glioma","Glioma__enh_1558","val","Glioma","1","0.999929","0.908602","flip_h","0.999722447","0.686981","1.094277","0.91522272","1003","True"
"857","5904","Glioma__enh_1205","train","Glioma","Glioma__enh_1385","test","Glioma","8","0.999943","0.935484","flip_h","0.999792981","0.679668","1.073876","0.933824592","916","True"
"865","5898","Glioma__enh_1215","train","Glioma","Glioma__enh_1346","test","Glioma","12","0.999932","0.9375","flip_h","0.999791513","0.625004","1.001496","0.938274265","573","True"
"867","5926","Glioma__enh_1217","train","Glioma","Glioma__enh_1577","test","Glioma","11","0.999923","0.890411","flip_h","0.999754089","0.692211","1.052216","0.911063373","414","True"
