"first_sample_id","first_split","first_class","first_source","first_image_path","second_sample_id","second_split","second_class","second_source","second_image_path","hamming_distance","pixel_correlation","mask_iou","transform","strong","likely_duplicate"
"Glioma__enh_402","train","Glioma","original","Glioma/enh_402.png","Meningioma__enh_880","val","Meningioma","brisc2025","Meningioma/enh_880.png","10","0.974589","0.833333","flip_h","False","False"
"Glioma__enh_416","train","Glioma","original","Glioma/enh_416.png","Meningioma__enh_1474","val","Meningioma","brisc2025","Meningioma/enh_1474.png","12","0.985683","0.89011","identity","False","False"
"Glioma__enh_430","train","Glioma","original","Glioma/enh_430.png","Meningioma__enh_1486","test","Meningioma","brisc2025","Meningioma/enh_1486.png","12","0.982949","0.884956","identity","False","False"
"Glioma__enh_443","train","Glioma","original","Glioma/enh_443.png","Meningioma__enh_1633","test","Meningioma","brisc2025","Meningioma/enh_1633.png","11","0.981584","0.919075","identity","False","True"
"Glioma__enh_472","train","Glioma","original","Glioma/enh_472.png","Meningioma__enh_1523","val","Meningioma","brisc2025","Meningioma/enh_1523.png","12","0.987533","0.868421","identity","False","False"
"Glioma__enh_504","train","Glioma","original","Glioma/enh_504.png","Meningioma__enh_1555","test","Meningioma","brisc2025","Meningioma/enh_1555.png","12","0.984358","0.857143","identity","False","False"
"Glioma__enh_565","train","Glioma","brisc2025","Glioma/enh_565.png","Glioma__enh_1107","test","Glioma","brisc2025","Glioma/enh_1107.png","7","0.999885","0.518519","flip_h","True","False"
"Glioma__enh_573","train","Glioma","brisc2025","Glioma/enh_573.png","Glioma__enh_1060","val","Glioma","brisc2025","Glioma/enh_1060.png","11","0.99988","0.956897","flip_h","False","True"
"Glioma__enh_622","train","Glioma","brisc2025","Glioma/enh_622.png","Glioma__enh_1321","test","Glioma","brisc2025","Glioma/enh_1321.png","7","0.999931","1","flip_h","True","True"
"Glioma__enh_627","train","Glioma","brisc2025","Glioma/enh_627.png","Glioma__enh_1349","test","Glioma","brisc2025","Glioma/enh_1349.png","4","0.999935","0.921429","flip_h","True","True"
"Glioma__enh_639","train","Glioma","brisc2025","Glioma/enh_639.png","Glioma__enh_1251","val","Glioma","brisc2025","Glioma/enh_1251.png","8","0.999886","0.822222","flip_h","True","False"
"Glioma__enh_647","train","Glioma","brisc2025","Glioma/enh_647.png","Glioma__enh_1313","test","Glioma","brisc2025","Glioma/enh_1313.png","4","0.999922","0.516129","flip_h","True","False"
"Glioma__enh_649","train","Glioma","brisc2025","Glioma/enh_649.png","Glioma__enh_633","val","Glioma","brisc2025","Glioma/enh_633.png","12","0.999886","0.896552","flip_h","False","False"
"Glioma__enh_663","train","Glioma","brisc2025","Glioma/enh_663.png","Glioma__enh_1214","test","Glioma","brisc2025","Glioma/enh_1214.png","11","0.99987","0.957447","flip_h","False","True"
"Glioma__enh_777","train","Glioma","brisc2025","Glioma/enh_777.png","Glioma__enh_1613","test","Glioma","brisc2025","Glioma/enh_1613.png","10","0.999909","0.831776","flip_h","False","False"
"Glioma__enh_789","train","Glioma","brisc2025","Glioma/enh_789.png","Glioma__enh_608","test","Glioma","brisc2025","Glioma/enh_608.png","11","0.999942","0.868327","flip_h","False","False"
"Glioma__enh_801","train","Glioma","brisc2025","Glioma/enh_801.png","Glioma__enh_856","test","Glioma","brisc2025","Glioma/enh_856.png","8","0.999888","0.841772","flip_h","True","False"
"Glioma__enh_803","train","Glioma","brisc2025","Glioma/enh_803.png","Glioma__enh_904","val","Glioma","brisc2025","Glioma/enh_904.png","7","0.999802","0.636364","flip_h","True","False"
"Glioma__enh_809","train","Glioma","brisc2025","Glioma/enh_809.png","Glioma__enh_956","test","Glioma","brisc2025","Glioma/enh_956.png","11","0.999917","0.724138","flip_h","False","False"
"Glioma__enh_814","train","Glioma","brisc2025","Glioma/enh_814.png","Glioma__enh_1016","test","Glioma","brisc2025","Glioma/enh_1016.png","12","0.999909","0.903226","flip_h","False","True"
"Glioma__enh_821","train","Glioma","brisc2025","Glioma/enh_821.png","Glioma__enh_1097","test","Glioma","brisc2025","Glioma/enh_1097.png","10","0.999843","0.906832","flip_h","False","True"
