"first_sample_id","first_split","first_class","first_source","first_image_path","second_sample_id","second_split","second_class","second_source","second_image_path","hamming_distance","pixel_correlation","mask_iou","transform","strong","likely_duplicate","full_pixel_correlation","full_image_mae","full_image_rmse","full_image_psnr","full_image_mismatch_pixels","full_mask_iou","full_mask_mismatch_pixels","full_verified_likely_duplicate"
"Glioma__enh_402","train","Glioma","original","Glioma/enh_402.png","Meningioma__enh_880","val","Meningioma","brisc2025","Meningioma/enh_880.png","10","0.974589","0.833333","flip_h","False","False","0.965233471","25.780884","34.606833","17.347566","260714","0.842621489","353","False"
"Glioma__enh_416","train","Glioma","original","Glioma/enh_416.png","Meningioma__enh_1474","val","Meningioma","brisc2025","Meningioma/enh_1474.png","12","0.985683","0.89011","identity","False","False","0.976479897","21.194344","30.026749","18.580637","259926","0.868001357","778","False"
"Glioma__enh_430","train","Glioma","original","Glioma/enh_430.png","Meningioma__enh_1486","test","Meningioma","brisc2025","Meningioma/enh_1486.png","12","0.982949","0.884956","identity","False","False","0.972244498","19.498661","27.232776","19.428965","259728","0.910140845","638","False"
"Glioma__enh_443","train","Glioma","original","Glioma/enh_443.png","Meningioma__enh_1633","test","Meningioma","brisc2025","Meningioma/enh_1633.png","11","0.981584","0.919075","identity","False","True","0.972415669","21.894482","30.36186","18.484236","260124","0.91630309","940","False"
"Glioma__enh_472","train","Glioma","original","Glioma/enh_472.png","Meningioma__enh_1523","val","Meningioma","brisc2025","Meningioma/enh_1523.png","12","0.987533","0.868421","identity","False","False","0.979091429","17.153912","24.846805","20.225392","259869","0.863422074","985","False"
"Glioma__enh_504","train","Glioma","original","Glioma/enh_504.png","Meningioma__enh_1555","test","Meningioma","brisc2025","Meningioma/enh_1555.png","12","0.984358","0.857143","identity","False","False","0.977359467","17.873287","27.142501","19.457806","259253","0.829301814","621","False"
"Glioma__enh_565","train","Glioma","brisc2025","Glioma/enh_565.png","Glioma__enh_1107","test","Glioma","brisc2025","Glioma/enh_1107.png","7","0.999885","0.518519","flip_h","True","False","0.999723194","0.532032","0.891483","49.128539","112916","0.535529972","2340","False"
"Glioma__enh_573","train","Glioma","brisc2025","Glioma/enh_573.png","Glioma__enh_1060","val","Glioma","brisc2025","Glioma/enh_1060.png","11","0.99988","0.956897","flip_h","False","True","0.999688907","0.536861","0.890649","49.136676","114153","0.957294181","637","True"
"Glioma__enh_622","train","Glioma","brisc2025","Glioma/enh_622.png","Glioma__enh_1321","test","Glioma","brisc2025","Glioma/enh_1321.png","7","0.999931","1","flip_h","True","True","0.999744637","0.680023","1.083029","47.438006","129943","0.958597764","137","True"
"Glioma__enh_627","train","Glioma","brisc2025","Glioma/enh_627.png","Glioma__enh_1349","test","Glioma","brisc2025","Glioma/enh_1349.png","4","0.999935","0.921429","flip_h","True","True","0.999787772","0.643005","1.02747","47.895421","128254","0.944620971","488","True"
"Glioma__enh_639","train","Glioma","brisc2025","Glioma/enh_639.png","Glioma__enh_1251","val","Glioma","brisc2025","Glioma/enh_1251.png","8","0.999886","0.822222","flip_h","True","False","0.999657412","0.642799","1.008308","48.058937","130498","0.838020648","910","False"
"Glioma__enh_647","train","Glioma","brisc2025","Glioma/enh_647.png","Glioma__enh_1313","test","Glioma","brisc2025","Glioma/enh_1313.png","4","0.999922","0.516129","flip_h","True","False","0.999745322","0.632286","1.025664","47.910701","124386","0.524150566","2857","False"
"Glioma__enh_649","train","Glioma","brisc2025","Glioma/enh_649.png","Glioma__enh_633","val","Glioma","brisc2025","Glioma/enh_633.png","12","0.999886","0.896552","flip_h","False","False","0.999639696","0.641918","1.023305","47.930700","128112","0.906435911","173","True"
"Glioma__enh_663","train","Glioma","brisc2025","Glioma/enh_663.png","Glioma__enh_1214","test","Glioma","brisc2025","Glioma/enh_1214.png","11","0.99987","0.957447","flip_h","False","True","0.999643531","0.629456","0.982913","48.280503","131482","0.924694708","222","True"
"Glioma__enh_777","train","Glioma","brisc2025","Glioma/enh_777.png","Glioma__enh_1613","test","Glioma","brisc2025","Glioma/enh_1613.png","10","0.999909","0.831776","flip_h","False","False","0.99970287","0.79649","1.127569","47.087941","159909","0.819653508","1270","False"
"Glioma__enh_789","train","Glioma","brisc2025","Glioma/enh_789.png","Glioma__enh_608","test","Glioma","brisc2025","Glioma/enh_608.png","11","0.999942","0.868327","flip_h","False","False","0.999800298","0.608307","1.017614","47.979144","118016","0.872672872","2298","False"
"Glioma__enh_801","train","Glioma","brisc2025","Glioma/enh_801.png","Glioma__enh_856","test","Glioma","brisc2025","Glioma/enh_856.png","8","0.999888","0.841772","flip_h","True","False","0.999675451","0.505116","0.892822","49.115509","102586","0.855397047","2899","False"
"Glioma__enh_803","train","Glioma","brisc2025","Glioma/enh_803.png","Glioma__enh_904","val","Glioma","brisc2025","Glioma/enh_904.png","7","0.999802","0.636364","flip_h","True","False","0.999559722","0.467457","0.830046","49.748761","99810","0.657752308","2150","False"
"Glioma__enh_809","train","Glioma","brisc2025","Glioma/enh_809.png","Glioma__enh_956","test","Glioma","brisc2025","Glioma/enh_956.png","11","0.999917","0.724138","flip_h","False","False","0.999763927","0.527279","0.902874","49.018259","108973","0.790619765","375","False"
"Glioma__enh_814","train","Glioma","brisc2025","Glioma/enh_814.png","Glioma__enh_1016","test","Glioma","brisc2025","Glioma/enh_1016.png","12","0.999909","0.903226","flip_h","False","True","0.999719939","0.529579","0.9345","48.719214","105300","0.934832609","255","True"
"Glioma__enh_821","train","Glioma","brisc2025","Glioma/enh_821.png","Glioma__enh_1097","test","Glioma","brisc2025","Glioma/enh_1097.png","10","0.999843","0.906832","flip_h","False","True","0.999632327","0.532505","0.901834","49.028270","111933","0.923753666","780","True"
"Glioma__enh_870","train","Glioma","brisc2025","Glioma/enh_870.png","Glioma__enh_558","test","Glioma","brisc2025","Glioma/enh_558.png","9","0.999899","0.60241","flip_h","False","False","0.999683939","0.58255","0.990926","48.209982","113880","0.620845921","2008","False"
"Glioma__enh_873","train","Glioma","brisc2025","Glioma/enh_873.png","Glioma__enh_818","val","Glioma","brisc2025","Glioma/enh_818.png","7","0.999851","0.304348","flip_h","True","False","0.99962393","0.548157","0.918966","48.864819","114125","0.271466314","1103","False"
"Glioma__enh_875","train","Glioma","brisc2025","Glioma/enh_875.png","Glioma__enh_559","val","Glioma","brisc2025","Glioma/enh_559.png","5","0.999872","0.8","flip_h","True","False","0.999671819","0.531906","0.900372","49.042368","111012","0.8141542","646","False"
"Glioma__enh_951","train","Glioma","brisc2025","Glioma/enh_951.png","Glioma__enh_545","val","Glioma","brisc2025","Glioma/enh_545.png","11","0.999893","0.367021","flip_h","False","False","0.999689923","0.552219","0.945633","48.616349","110789","0.362535494","7633","False"
"Glioma__enh_1084","train","Glioma","brisc2025","Glioma/enh_1084.png","Glioma__enh_820","test","Glioma","brisc2025","Glioma/enh_820.png","7","0.999893","0.759036","flip_h","True","False","0.999715441","0.526585","0.899403","49.051718","109243","0.792944785","1080","False"
"Glioma__enh_1088","train","Glioma","brisc2025","Glioma/enh_1088.png","Glioma__enh_561","val","Glioma","brisc2025","Glioma/enh_561.png","9","0.999906","1","flip_h","False","True","0.999728911","0.540451","0.935773","48.707392","108666","0.812888199","241","False"
"Glioma__enh_1091","train","Glioma","brisc2025","Glioma/enh_1091.png","Glioma__enh_562","test","Glioma","brisc2025","Glioma/enh_562.png","5","0.999891","0.21978","flip_h","True","False","0.999698082","0.501354","0.897679","49.068380","101119","0.220608575","4508","False"
"Glioma__enh_1184","train","Glioma","brisc2025","Glioma/enh_1184.png","Glioma__enh_1467","val","Glioma","brisc2025","Glioma/enh_1467.png","9","0.999877","0.095238","flip_h","False","False","0.999606866","0.632915","1.017102","47.983514","125571","0.086803371","7259","False"
"Glioma__enh_1189","train","Glioma","brisc2025","Glioma/enh_1189.png","Glioma__enh_1504","val","Glioma","brisc2025","Glioma/enh_1504.png","10","0.999896","0.467532","flip_h","False","False","0.999694453","0.613262","0.992251","48.198373","123818","0.468155418","5311","False"
"Glioma__enh_1195","train","Glioma","brisc2025","Glioma/enh_1195.png","Glioma__enh_1550","test","Glioma","brisc2025","Glioma/enh_1550.png","9","0.999887","0.756757","flip_h","False","False","0.999650277","0.610909","0.988767","48.228920","122400","0.730438521","1254","False"
"Glioma__enh_1196","train","Glioma","brisc2025","Glioma/enh_1196.png","Meningioma__enh_358","val","Meningioma","original","Meningioma/enh_358.png","10","0.978762","0.794118","identity","False","False","0.966443504","25.07291","34.628115","17.342227","259914","0.79378882","1328","False"
"Glioma__enh_1197","train","Glioma","brisc2025","Glioma/enh_1197.png","Glioma__enh_1558","val","Glioma","brisc2025","Glioma/enh_1558.png","1","0.999929","0.908602","flip_h","True","True","0.999722447","0.686981","1.094277","47.348262","130085","0.91522272","1003","True"
"Glioma__enh_1200","train","Glioma","brisc2025","Glioma/enh_1200.png","Glioma__enh_1361","val","Glioma","brisc2025","Glioma/enh_1361.png","6","0.999919","0.712644","flip_h","True","False","0.999726287","0.64756","1.042208","47.771718","126314","0.714360955","1627","False"
"Glioma__enh_1201","train","Glioma","brisc2025","Glioma/enh_1201.png","Meningioma__enh_71","test","Meningioma","original","Meningioma/enh_71.png","9","0.979462","0.205882","identity","False","False","0.96851475","24.361282","33.930875","17.518902","259363","0.201346389","10440","False"
"Glioma__enh_1205","train","Glioma","brisc2025","Glioma/enh_1205.png","Glioma__enh_1385","test","Glioma","brisc2025","Glioma/enh_1385.png","8","0.999943","0.935484","flip_h","True","True","0.999792981","0.679668","1.073876","47.511721","131258","0.933824592","916","True"
"Glioma__enh_1207","train","Glioma","brisc2025","Glioma/enh_1207.png","Glioma__enh_1409","val","Glioma","brisc2025","Glioma/enh_1409.png","12","0.99993","0.695238","flip_h","False","False","0.99978631","0.6092","0.985386","48.258677","123598","0.703004681","1967","False"
"Glioma__enh_1211","train","Glioma","brisc2025","Glioma/enh_1211.png","Meningioma__enh_11","val","Meningioma","original","Meningioma/enh_11.png","8","0.985262","0.770492","identity","True","False","0.973828385","22.623829","32.454024","17.905433","259480","0.846052977","587","False"
"Glioma__enh_1215","train","Glioma","brisc2025","Glioma/enh_1215.png","Glioma__enh_1346","test","Glioma","brisc2025","Glioma/enh_1346.png","12","0.999932","0.9375","flip_h","False","True","0.999791513","0.625004","1.001496","48.117818","126712","0.938274265","573","True"
"Glioma__enh_1217","train","Glioma","brisc2025","Glioma/enh_1217.png","Glioma__enh_1577","test","Glioma","brisc2025","Glioma/enh_1577.png","11","0.999923","0.890411","flip_h","False","False","0.999754089","0.692211","1.052216","47.688705","139986","0.911063373","414","True"
"Glioma__enh_1218","train","Glioma","brisc2025","Glioma/enh_1218.png","Glioma__enh_687","val","Glioma","brisc2025","Glioma/enh_687.png","12","0.999931","0.916667","flip_h","False","True","0.999770418","0.647892","1.029256","47.880335","129299","0.932896521","297","True"
"Glioma__enh_1231","train","Glioma","brisc2025","Glioma/enh_1231.png","Glioma__enh_1220","val","Glioma","brisc2025","Glioma/enh_1220.png","7","0.999913","0.858974","flip_h","True","False","0.999731587","0.600967","0.981546","48.292592","120834","0.849196539","732","False"
"Glioma__enh_1240","train","Glioma","brisc2025","Glioma/enh_1240.png","Glioma__enh_325","test","Glioma","original","Glioma/enh_325.png","12","0.98265","0.320513","flip_h","False","False","0.970929162","22.895477","32.011407","18.024708","260541","0.324064813","3379","False"
"Glioma__enh_1243","train","Glioma","brisc2025","Glioma/enh_1243.png","Glioma__enh_1222","test","Glioma","brisc2025","Glioma/enh_1222.png","3","0.999888","0.97619","flip_h","True","True","0.99962518","0.651703","1.038941","47.798983","127629","0.940660112","169","True"
