"component_id","component_size","crosses_splits","splits","sample_id","split","tumor_type"
"Glioma__enh_814","2","True","test,train","Glioma__enh_1016","test","Glioma"
"Glioma__enh_814","2","True","test,train","Glioma__enh_814","train","Glioma"
"Glioma__enh_573","2","True","train,val","Glioma__enh_1060","val","Glioma"
"Glioma__enh_573","2","True","train,val","Glioma__enh_573","train","Glioma"
"Glioma__enh_821","2","True","test,train","Glioma__enh_1097","test","Glioma"
"Glioma__enh_821","2","True","test,train","Glioma__enh_821","train","Glioma"
"Glioma__enh_790","2","False","train","Glioma__enh_1136","train","Glioma"
"Glioma__enh_790","2","False","train","Glioma__enh_790","train","Glioma"
"Glioma__enh_1187","2","False","train","Glioma__enh_1187","train","Glioma"
"Glioma__enh_1187","2","False","train","Glioma__enh_1494","train","Glioma"
"Glioma__enh_1188","2","False","train","Glioma__enh_1188","train","Glioma"
"Glioma__enh_1188","2","False","train","Glioma__enh_1499","train","Glioma"
"Glioma__enh_1191","2","False","train","Glioma__enh_1191","train","Glioma"
"Glioma__enh_1191","2","False","train","Glioma__enh_1530","train","Glioma"
"Glioma__enh_1194","2","False","train","Glioma__enh_1194","train","Glioma"
"Glioma__enh_1194","2","False","train","Glioma__enh_1545","train","Glioma"
"Glioma__enh_1197","2","True","train,val","Glioma__enh_1197","train","Glioma"
"Glioma__enh_1197","2","True","train,val","Glioma__enh_1558","val","Glioma"
"Glioma__enh_1203","2","False","train","Glioma__enh_1203","train","Glioma"
"Glioma__enh_1203","2","False","train","Glioma__enh_1380","train","Glioma"
"Glioma__enh_1205","2","True","test,train","Glioma__enh_1205","train","Glioma"
"Glioma__enh_1205","2","True","test,train","Glioma__enh_1385","test","Glioma"
"Glioma__enh_1208","2","False","train","Glioma__enh_1208","train","Glioma"
"Glioma__enh_1208","2","False","train","Glioma__enh_1419","train","Glioma"
"Glioma__enh_1209","2","False","val","Glioma__enh_1209","val","Glioma"
"Glioma__enh_1209","2","False","val","Glioma__enh_1564","val","Glioma"
"Glioma__enh_1211","2","False","train","Glioma__enh_1211","train","Glioma"
"Glioma__enh_1211","2","False","train","Glioma__enh_1320","train","Glioma"
"Glioma__enh_663","2","True","test,train","Glioma__enh_1214","test","Glioma"
"Glioma__enh_663","2","True","test,train","Glioma__enh_663","train","Glioma"
"Glioma__enh_1215","2","True","test,train","Glioma__enh_1215","train","Glioma"
"Glioma__enh_1215","2","True","test,train","Glioma__enh_1346","test","Glioma"
"Glioma__enh_1217","2","True","test,train","Glioma__enh_1217","train","Glioma"
"Glioma__enh_1217","2","True","test,train","Glioma__enh_1577","test","Glioma"
"Glioma__enh_1218","2","True","train,val","Glioma__enh_1218","train","Glioma"
"Glioma__enh_1218","2","True","train,val","Glioma__enh_687","val","Glioma"
"Glioma__enh_1243","2","True","test,train","Glioma__enh_1222","test","Glioma"
"Glioma__enh_1243","2","True","test,train","Glioma__enh_1243","train","Glioma"
"Glioma__enh_1227","2","False","train","Glioma__enh_1227","train","Glioma"
"Glioma__enh_1227","2","False","train","Glioma__enh_1281","train","Glioma"
"Glioma__enh_637","2","False","train","Glioma__enh_1244","train","Glioma"
"Glioma__enh_637","2","False","train","Glioma__enh_637","train","Glioma"
"Glioma__enh_642","2","False","train","Glioma__enh_1273","train","Glioma"
"Glioma__enh_642","2","False","train","Glioma__enh_642","train","Glioma"
"Glioma__enh_643","2","False","train","Glioma__enh_1279","train","Glioma"
"Glioma__enh_643","2","False","train","Glioma__enh_643","train","Glioma"
"Glioma__enh_644","2","False","train","Glioma__enh_1283","train","Glioma"
"Glioma__enh_644","2","False","train","Glioma__enh_644","train","Glioma"
"Glioma__enh_645","2","False","train","Glioma__enh_1287","train","Glioma"
"Glioma__enh_645","2","False","train","Glioma__enh_645","train","Glioma"
"Glioma__enh_622","2","True","test,train","Glioma__enh_1321","test","Glioma"
"Glioma__enh_622","2","True","test,train","Glioma__enh_622","train","Glioma"
"Glioma__enh_1341","2","True","train,val","Glioma__enh_1341","train","Glioma"
"Glioma__enh_1341","2","True","train,val","Glioma__enh_626","val","Glioma"
"Glioma__enh_627","2","True","test,train","Glioma__enh_1349","test","Glioma"
"Glioma__enh_627","2","True","test,train","Glioma__enh_627","train","Glioma"
"Glioma__enh_630","2","False","train","Glioma__enh_1579","train","Glioma"
"Glioma__enh_630","2","False","train","Glioma__enh_630","train","Glioma"
"Glioma__enh_1609","2","False","train","Glioma__enh_1609","train","Glioma"
"Glioma__enh_1609","2","False","train","Glioma__enh_1882","train","Glioma"
"Glioma__enh_1616","2","True","test,train","Glioma__enh_1616","train","Glioma"
"Glioma__enh_1616","2","True","test,train","Glioma__enh_784","test","Glioma"
"Glioma__enh_550","2","False","train","Glioma__enh_550","train","Glioma"
"Glioma__enh_550","2","False","train","Glioma__enh_980","train","Glioma"
"Glioma__enh_555","2","False","train","Glioma__enh_555","train","Glioma"
"Glioma__enh_555","2","False","train","Glioma__enh_599","train","Glioma"
"Glioma__enh_560","2","False","train","Glioma__enh_560","train","Glioma"
"Glioma__enh_560","2","False","train","Glioma__enh_879","train","Glioma"
"Glioma__enh_649","2","True","train,val","Glioma__enh_633","val","Glioma"
"Glioma__enh_649","2","True","train,val","Glioma__enh_649","train","Glioma"
"Glioma__enh_798","2","False","train","Glioma__enh_798","train","Glioma"
"Glioma__enh_798","2","False","train","Glioma__enh_832","train","Glioma"
"Glioma__enh_819","2","False","train","Glioma__enh_819","train","Glioma"
"Glioma__enh_819","2","False","train","Glioma__enh_878","train","Glioma"
"Meningioma__enh_1000","2","False","train","Meningioma__enh_1000","train","Meningioma"
"Meningioma__enh_1000","2","False","train","Meningioma__enh_1876","train","Meningioma"
"Meningioma__enh_1012","2","False","val","Meningioma__enh_1012","val","Meningioma"
"Meningioma__enh_1012","2","False","val","Meningioma__enh_1386","val","Meningioma"
"Meningioma__enh_1018","2","True","test,val","Meningioma__enh_1018","val","Meningioma"
"Meningioma__enh_1018","2","True","test,val","Meningioma__enh_1279","test","Meningioma"
"Meningioma__enh_1041","2","False","train","Meningioma__enh_1041","train","Meningioma"
"Meningioma__enh_1041","2","False","train","Meningioma__enh_1376","train","Meningioma"
"Meningioma__enh_1042","2","False","train","Meningioma__enh_1042","train","Meningioma"
"Meningioma__enh_1042","2","False","train","Meningioma__enh_1377","train","Meningioma"
"Meningioma__enh_1043","2","False","train","Meningioma__enh_1043","train","Meningioma"
"Meningioma__enh_1043","2","False","train","Meningioma__enh_1378","train","Meningioma"
"Meningioma__enh_1044","2","True","train,val","Meningioma__enh_1044","train","Meningioma"
"Meningioma__enh_1044","2","True","train,val","Meningioma__enh_1380","val","Meningioma"
"Meningioma__enh_1048","2","True","test,train","Meningioma__enh_1048","train","Meningioma"
"Meningioma__enh_1048","2","True","test,train","Meningioma__enh_1387","test","Meningioma"
"Meningioma__enh_1049","2","True","test,train","Meningioma__enh_1049","train","Meningioma"
"Meningioma__enh_1049","2","True","test,train","Meningioma__enh_1388","test","Meningioma"
"Meningioma__enh_1053","2","False","train","Meningioma__enh_1053","train","Meningioma"
"Meningioma__enh_1053","2","False","train","Meningioma__enh_1395","train","Meningioma"
"Meningioma__enh_1407","2","True","test,train","Meningioma__enh_1062","test","Meningioma"
"Meningioma__enh_1407","2","True","test,train","Meningioma__enh_1407","train","Meningioma"
"Meningioma__enh_838","2","False","train","Meningioma__enh_1072","train","Meningioma"
"Meningioma__enh_838","2","False","train","Meningioma__enh_838","train","Meningioma"
"Meningioma__enh_1073","2","False","train","Meningioma__enh_1073","train","Meningioma"
"Meningioma__enh_1073","2","False","train","Meningioma__enh_1255","train","Meningioma"
"Meningioma__enh_804","2","True","train,val","Meningioma__enh_1081","val","Meningioma"
"Meningioma__enh_804","2","True","train,val","Meningioma__enh_804","train","Meningioma"
"Meningioma__enh_806","2","False","train","Meningioma__enh_1086","train","Meningioma"
"Meningioma__enh_806","2","False","train","Meningioma__enh_806","train","Meningioma"
"Meningioma__enh_1091","2","False","train","Meningioma__enh_1091","train","Meningioma"
"Meningioma__enh_1091","2","False","train","Meningioma__enh_1342","train","Meningioma"
"Meningioma__enh_827","2","False","train","Meningioma__enh_1094","train","Meningioma"
"Meningioma__enh_827","2","False","train","Meningioma__enh_827","train","Meningioma"
"Meningioma__enh_1096","2","False","train","Meningioma__enh_1096","train","Meningioma"
"Meningioma__enh_1096","2","False","train","Meningioma__enh_1346","train","Meningioma"
"Meningioma__enh_829","2","False","train","Meningioma__enh_1100","train","Meningioma"
"Meningioma__enh_829","2","False","train","Meningioma__enh_829","train","Meningioma"
"Meningioma__enh_717","2","False","train","Meningioma__enh_1112","train","Meningioma"
"Meningioma__enh_717","2","False","train","Meningioma__enh_717","train","Meningioma"
"Meningioma__enh_1133","2","False","train","Meningioma__enh_1133","train","Meningioma"
"Meningioma__enh_1133","2","False","train","Meningioma__enh_1291","train","Meningioma"
"Meningioma__enh_748","2","False","test","Meningioma__enh_1141","test","Meningioma"
"Meningioma__enh_748","2","False","test","Meningioma__enh_748","test","Meningioma"
"Meningioma__enh_1168","2","True","train,val","Meningioma__enh_1168","train","Meningioma"
"Meningioma__enh_1168","2","True","train,val","Meningioma__enh_1275","val","Meningioma"
"Meningioma__enh_1171","2","True","test,train","Meningioma__enh_1171","train","Meningioma"
"Meningioma__enh_1171","2","True","test,train","Meningioma__enh_1283","test","Meningioma"
"Meningioma__enh_1174","2","True","test,train","Meningioma__enh_1174","train","Meningioma"
"Meningioma__enh_1174","2","True","test,train","Meningioma__enh_1289","test","Meningioma"
"Meningioma__enh_1176","2","False","train","Meningioma__enh_1176","train","Meningioma"
"Meningioma__enh_1176","2","False","train","Meningioma__enh_1292","train","Meningioma"
"Meningioma__enh_1177","2","False","train","Meningioma__enh_1177","train","Meningioma"
"Meningioma__enh_1177","2","False","train","Meningioma__enh_1294","train","Meningioma"
"Meningioma__enh_1299","2","True","test,train","Meningioma__enh_1181","test","Meningioma"
"Meningioma__enh_1299","2","True","test,train","Meningioma__enh_1299","train","Meningioma"
"Meningioma__enh_1187","2","False","train","Meningioma__enh_1187","train","Meningioma"
"Meningioma__enh_1187","2","False","train","Meningioma__enh_1303","train","Meningioma"
"Meningioma__enh_1188","2","False","train","Meningioma__enh_1188","train","Meningioma"
"Meningioma__enh_1188","2","False","train","Meningioma__enh_1304","train","Meningioma"
"Meningioma__enh_815","2","True","test,train","Meningioma__enh_1190","test","Meningioma"
"Meningioma__enh_815","2","True","test,train","Meningioma__enh_815","train","Meningioma"
"Meningioma__enh_1306","2","True","test,train","Meningioma__enh_1191","test","Meningioma"
"Meningioma__enh_1306","2","True","test,train","Meningioma__enh_1306","train","Meningioma"
"Meningioma__enh_817","2","True","test,train","Meningioma__enh_1195","test","Meningioma"
"Meningioma__enh_817","2","True","test,train","Meningioma__enh_817","train","Meningioma"
"Meningioma__enh_1313","2","True","test,train","Meningioma__enh_1197","test","Meningioma"
"Meningioma__enh_1313","2","True","test,train","Meningioma__enh_1313","train","Meningioma"
"Meningioma__enh_1318","2","True","train,val","Meningioma__enh_1202","val","Meningioma"
"Meningioma__enh_1318","2","True","train,val","Meningioma__enh_1318","train","Meningioma"
"Meningioma__enh_820","2","True","test,train","Meningioma__enh_1206","test","Meningioma"
"Meningioma__enh_820","2","True","test,train","Meningioma__enh_820","train","Meningioma"
"Meningioma__enh_1208","2","False","train","Meningioma__enh_1208","train","Meningioma"
"Meningioma__enh_1208","2","False","train","Meningioma__enh_1322","train","Meningioma"
"Meningioma__enh_821","2","True","test,val","Meningioma__enh_1211","test","Meningioma"
"Meningioma__enh_821","2","True","test,val","Meningioma__enh_821","val","Meningioma"
"Meningioma__enh_1326","2","True","test,train","Meningioma__enh_1212","test","Meningioma"
"Meningioma__enh_1326","2","True","test,train","Meningioma__enh_1326","train","Meningioma"
"Meningioma__enh_1219","2","False","train","Meningioma__enh_1219","train","Meningioma"
"Meningioma__enh_1219","2","False","train","Meningioma__enh_1331","train","Meningioma"
"Meningioma__enh_1220","2","False","test","Meningioma__enh_1220","test","Meningioma"
"Meningioma__enh_1220","2","False","test","Meningioma__enh_1332","test","Meningioma"
"Meningioma__enh_1221","2","True","test,train","Meningioma__enh_1221","train","Meningioma"
"Meningioma__enh_1221","2","True","test,train","Meningioma__enh_1333","test","Meningioma"
"Meningioma__enh_795","2","False","train","Meningioma__enh_1258","train","Meningioma"
"Meningioma__enh_795","2","False","train","Meningioma__enh_795","train","Meningioma"
"Meningioma__enh_777","2","True","train,val","Meningioma__enh_1282","val","Meningioma"
"Meningioma__enh_777","2","True","train,val","Meningioma__enh_777","train","Meningioma"
"Meningioma__enh_799","2","False","val","Meningioma__enh_1311","val","Meningioma"
"Meningioma__enh_799","2","False","val","Meningioma__enh_799","val","Meningioma"
"Meningioma__enh_779","2","False","train","Meningioma__enh_1317","train","Meningioma"
"Meningioma__enh_779","2","False","train","Meningioma__enh_779","train","Meningioma"
"Meningioma__enh_1360","2","True","train,val","Meningioma__enh_1360","train","Meningioma"
"Meningioma__enh_1360","2","True","train,val","Meningioma__enh_781","val","Meningioma"
"Meningioma__enh_782","2","False","train","Meningioma__enh_1365","train","Meningioma"
"Meningioma__enh_782","2","False","train","Meningioma__enh_782","train","Meningioma"
"Meningioma__enh_787","2","False","train","Meningioma__enh_1389","train","Meningioma"
"Meningioma__enh_787","2","False","train","Meningioma__enh_787","train","Meningioma"
"Meningioma__enh_1390","2","False","train","Meningioma__enh_1390","train","Meningioma"
"Meningioma__enh_1390","2","False","train","Pituitary tumor__enh_389","train","Pituitary tumor"
"Meningioma__enh_791","2","False","train","Meningioma__enh_1405","train","Meningioma"
"Meningioma__enh_791","2","False","train","Meningioma__enh_791","train","Meningioma"
"Meningioma__enh_794","2","False","train","Meningioma__enh_1420","train","Meningioma"
"Meningioma__enh_794","2","False","train","Meningioma__enh_794","train","Meningioma"
"Meningioma__enh_1424","2","True","train,val","Meningioma__enh_1424","train","Meningioma"
"Meningioma__enh_1424","2","True","train,val","Meningioma__enh_868","val","Meningioma"
"Meningioma__enh_1425","2","False","train","Meningioma__enh_1425","train","Meningioma"
"Meningioma__enh_1425","2","False","train","Meningioma__enh_1650","train","Meningioma"
"Meningioma__enh_1430","2","False","train","Meningioma__enh_1430","train","Meningioma"
"Meningioma__enh_1430","2","False","train","Meningioma__enh_1655","train","Meningioma"
"Meningioma__enh_873","2","True","train,val","Meningioma__enh_1436","val","Meningioma"
"Meningioma__enh_873","2","True","train,val","Meningioma__enh_873","train","Meningioma"
"Meningioma__enh_1437","2","False","val","Meningioma__enh_1437","val","Meningioma"
"Meningioma__enh_1437","2","False","val","Meningioma__enh_1663","val","Meningioma"
"Meningioma__enh_1444","2","False","train","Meningioma__enh_1444","train","Meningioma"
"Meningioma__enh_1444","2","False","train","Meningioma__enh_1670","train","Meningioma"
"Meningioma__enh_1450","2","False","train","Meningioma__enh_1450","train","Meningioma"
"Meningioma__enh_1450","2","False","train","Meningioma__enh_1675","train","Meningioma"
"Meningioma__enh_1451","2","True","test,val","Meningioma__enh_1451","val","Meningioma"
"Meningioma__enh_1451","2","True","test,val","Meningioma__enh_1676","test","Meningioma"
"Meningioma__enh_1455","2","True","test,train","Meningioma__enh_1455","train","Meningioma"
"Meningioma__enh_1455","2","True","test,train","Meningioma__enh_1679","test","Meningioma"
"Meningioma__enh_1682","2","True","test,train","Meningioma__enh_1459","test","Meningioma"
"Meningioma__enh_1682","2","True","test,train","Meningioma__enh_1682","train","Meningioma"
"Meningioma__enh_1462","2","False","test","Meningioma__enh_1462","test","Meningioma"
"Meningioma__enh_1462","2","False","test","Meningioma__enh_1684","test","Meningioma"
"Meningioma__enh_881","2","True","train,val","Meningioma__enh_1465","val","Meningioma"
"Meningioma__enh_881","2","True","train,val","Meningioma__enh_881","train","Meningioma"
"Meningioma__enh_1466","2","True","test,train","Meningioma__enh_1466","train","Meningioma"
"Meningioma__enh_1466","2","True","test,train","Meningioma__enh_1688","test","Meningioma"
"Meningioma__enh_1689","2","True","test,train","Meningioma__enh_1467","test","Meningioma"
"Meningioma__enh_1689","2","True","test,train","Meningioma__enh_1689","train","Meningioma"
"Meningioma__enh_883","2","False","train","Meningioma__enh_1471","train","Meningioma"
"Meningioma__enh_883","2","False","train","Meningioma__enh_883","train","Meningioma"
"Meningioma__enh_1472","2","False","train","Meningioma__enh_1472","train","Meningioma"
"Meningioma__enh_1472","2","False","train","Meningioma__enh_1692","train","Meningioma"
"Meningioma__enh_1473","2","True","train,val","Meningioma__enh_1473","train","Meningioma"
"Meningioma__enh_1473","2","True","train,val","Meningioma__enh_1694","val","Meningioma"
"Meningioma__enh_884","2","True","train,val","Meningioma__enh_1474","val","Meningioma"
"Meningioma__enh_884","2","True","train,val","Meningioma__enh_884","train","Meningioma"
"Meningioma__enh_1475","2","False","train","Meningioma__enh_1475","train","Meningioma"
"Meningioma__enh_1475","2","False","train","Meningioma__enh_1696","train","Meningioma"
"Meningioma__enh_1697","2","True","test,val","Meningioma__enh_1476","test","Meningioma"
"Meningioma__enh_1697","2","True","test,val","Meningioma__enh_1697","val","Meningioma"
"Meningioma__enh_1478","2","False","train","Meningioma__enh_1478","train","Meningioma"
"Meningioma__enh_1478","2","False","train","Meningioma__enh_1699","train","Meningioma"
"Meningioma__enh_1482","2","True","train,val","Meningioma__enh_1482","train","Meningioma"
"Meningioma__enh_1482","2","True","train,val","Meningioma__enh_1703","val","Meningioma"
"Meningioma__enh_886","2","True","test,val","Meningioma__enh_1483","test","Meningioma"
"Meningioma__enh_886","2","True","test,val","Meningioma__enh_886","val","Meningioma"
"Meningioma__enh_1484","2","False","train","Meningioma__enh_1484","train","Meningioma"
"Meningioma__enh_1484","2","False","train","Meningioma__enh_1704","train","Meningioma"
"Meningioma__enh_887","2","True","test,train","Meningioma__enh_1485","test","Meningioma"
"Meningioma__enh_887","2","True","test,train","Meningioma__enh_887","train","Meningioma"
"Meningioma__enh_1706","2","True","test,train","Meningioma__enh_1486","test","Meningioma"
