"sample_id","tumor_type","source_dataset","original_split","split","group_id","image_path","mask_path","image_pixel_sha256","mask_pixel_sha256","image_distinct_values","image_min","image_max","image_mean","image_stddev","mask_distinct_values","mask_binary","foreground_pixels","foreground_fraction","mask_min_x","mask_min_y","mask_max_x","mask_max_y","actual_image_sha256","actual_mask_sha256"
"Glioma__enh_1","Glioma","original","train","train","similarity_0","Glioma/enh_1.png","Glioma/enh_1_mask.png","f7701de31ee1758719e3b31ebe856892f9c57e9f9de79d2a0ee482a11f7aa54b","384ca5a74b1b2055fd3b7eb9e38b393ff62adfa13f1cb24cfd23ca5b00007ebd","255","1","255","42.161209","53.672982","2","True","5973","0.0227851867675781","164","188","251","272","d0a67fed163c1a3af12b2ac8eac425a3d47c57267775912a1e1e75ea1037fe2b","be250ec080a456815600d5c32417934a5281807dddeb4b026d8a70398bfe6e92"
"Glioma__enh_3","Glioma","original","test","train","similarity_2","Glioma/enh_3.png","Glioma/enh_3_mask.png","9acc864ef124c137dab78321e752294bbd142f906639c91d5b184477a303691d","349735b544d689c916b783491a5e9f63f3a85bd4835b625ebfb6930c208bff47","254","1","255","39.654057","50.378619","2","True","5800","0.022125244140625","168","196","253","287","70ebf1f2094bd5d88729f20bc3115fd64abed0034b61809036a11ee27b3b67e2","64196d46a8868a10e83b1410622e8c0d1f19a610b168b90027560bf66d52b524"
"Glioma__enh_4","Glioma","original","train","train","similarity_3","Glioma/enh_4.png","Glioma/enh_4_mask.png","52f57e1160bf15797318e7769aa41073d13c6e0556c940d52cabcd81d1a87bdb","7362086164909306c447be0c50f9005e2e015b5c59fad2bb1ebde1e9a4be55f5","254","1","255","40.494495","51.109939","2","True","3352","0.012786865234375","180","203","244","263","7228363f1de4b38ee6b3d954cb8066b277a4c1811720b2a50f05a39c0b692055","24b49a982f4444bd506c1c535829184c8c6d88b0901edfd9a83a8916c2018492"
"Glioma__enh_5","Glioma","original","val","train","similarity_4","Glioma/enh_5.png","Glioma/enh_5_mask.png","c1146cacc55beb130137271846e1f63a22ef95d4afa9e0852ba23a293069133b","538253cdb76bc69a28aace2de96686c1a61b20afd5851c75dd599088cefb8e07","255","1","255","44.491055","62.135341","2","True","9911","0.0378074645996094","150","238","255","365","1f0dd66100037ea66581c62639e35acce2e30522dab582ce1c99614daa0bfb1b","882ff91b1266955aad17d0e00cb861041f9c2ad241663b8ad5458724403753ea"
"Glioma__enh_6","Glioma","original","train","train","similarity_5","Glioma/enh_6.png","Glioma/enh_6_mask.png","f0531404ce0adb774ee7687d16b5d4b4b4aaf99e8acb0d0d5af109213d65b681","59a05703f623f8d4815bf3b3555e367c96eb6802392e0f4d4d95acf4b7807319","255","1","255","42.467499","53.219992","2","True","8008","0.030548095703125","132","160","230","299","60ce0541472d43d115a96a126bfcb7cb24b649fac02def508419a7a3b950d01c","2c3b0377aad4e7a6478bf8605e2b5159e1b2b755ed9ae808777f8059c9e02dd7"
"Glioma__enh_9","Glioma","original","train","train","similarity_8","Glioma/enh_9.png","Glioma/enh_9_mask.png","3b2f706fda6a4fc0ddb8442ba3ce0a9ff7ffff1aded946ca6b0f5f69f016be50","eff176baeed92f13c5f2315c22f528b0aeec265557e9fdb9c344cb3c28690a79","254","2","255","41.294579","53.73441","2","True","2164","0.0082550048828125","139","238","227","283","07f90dc50d88ce222f10acbddb2bfdfdfab51b31a57d478b6f49ef3dddf447a3","c21183cf8c3a7ccdfa58bfe8a7ed67d05d96b5fdde4e138648d3e5da62d1cc07"
"Glioma__enh_10","Glioma","original","train","train","similarity_9","Glioma/enh_10.png","Glioma/enh_10_mask.png","3c6578eb97b849b6a300f2cddb5fde5fafb65962eb16c6a6caa17b8c3035c182","494e21644f0c46bb571807c740d3a9b7dc22579b73152fc46773b367c292ce2b","255","1","255","49.38065","65.218613","2","True","909","0.00346755981445313","267","295","300","337","dc13d552056d3f54599c18da16352df42101e3a31ba05a702686ff93426e9dc0","f8894c8754d65eefa9251a20a4afa1d0c0b529eeb1a5d8c896396011df381c09"
"Glioma__enh_11","Glioma","original","train","train","similarity_10","Glioma/enh_11.png","Glioma/enh_11_mask.png","54a4147ac095b114184147119e93f74b99711fb0c24eb8aa5379e725bdf7ac23","1eeb20982e5c79615aa0b09cea554be2ef77240876a63f8a9340460d17051e35","255","1","255","47.345749","62.138896","2","True","1730","0.00659942626953125","264","286","308","341","551e0afad13ff6773ab211c1010488d2258626976fc0682241e58e0d9eab98ef","3375715b32d9707aeadc26dc727b73d34f42cffaef880aa0179fcede872c0e19"
"Glioma__enh_13","Glioma","original","train","train","similarity_12","Glioma/enh_13.png","Glioma/enh_13_mask.png","f815b54e53230c705437a6a19e2b8dcc2c07c7569ac951712d6b8d10daa8eec9","b291e8b33db408e155959e3315bafb9b114ba139c480cb7b242fe33159404764","255","1","255","44.512707","58.235678","2","True","3345","0.0127601623535156","259","322","348","386","4cb2d1136a8d122af15dae26835808b6e0bcaeda79f2761932b192b0a494a0b3","793b6df8b8778ebff2fe506941d3643d66542338cd60753755365eb41643a240"
"Glioma__enh_15","Glioma","original","train","train","similarity_14","Glioma/enh_15.png","Glioma/enh_15_mask.png","04a4e2259359821bf44dfefe0db9d1c04a54e1a808722be8dae39e7182c3e954","93257c93ee4174afb09dbc998aed2770a4b8b9b6f7b6a60040ae194eab4cc949","255","1","255","50.409008","61.101279","2","True","5311","0.0202598571777344","241","283","321","373","63160d493d34e037ebc9885b5bf922374f9eb5bad066aa14b3e6d77c8acc6647","93af610c35a772d720fe4542cdd8cfbb6e81918f9d310b6b4a9be0fbc2067a00"
"Glioma__enh_16","Glioma","original","val","train","similarity_15","Glioma/enh_16.png","Glioma/enh_16_mask.png","b983e0a57a427f727281f9e300ac807ca61531ffb05a2fed9561f77d76ee1cb3","3df38cfb8f4a6a7836653eddbb8a69c4b5473817c48e480c112931d2bb331138","256","0","255","59.640594","70.366523","2","True","2398","0.00914764404296875","301","312","354","367","fb7ae32a68534b3ea956b3aed48a7f9c16a6eea7382d3aa9834dfc8819f7c8a4","a7d2d85132b49cb9d73f58eb25b880b4fc1ad490781b94f90f29bc1bf1e8501e"
"Glioma__enh_17","Glioma","original","val","train","similarity_16","Glioma/enh_17.png","Glioma/enh_17_mask.png","51a6aac9bc1ea55ef041a771259528d9cc630aa3f1baa4d959afce05a06adb90","134ae59a403bd1b99cb53475a81671d8877c97d423fb6ea95343455670eb174e","255","1","255","52.720726","61.649164","2","True","4537","0.0173072814941406","252","285","318","379","9e02f7d1e984904a4fb1894223a8fca0cd0d18b2c07a9b9a5e9e617de65bdc69","19f2d54ee570a40216ef8acde631a1abffe58b732b58c00915e1c0573976702f"
"Glioma__enh_19","Glioma","original","train","train","similarity_18","Glioma/enh_19.png","Glioma/enh_19_mask.png","6157e27d372ac2419c04274626c4aefad47eec3b81024197775f2a91e157eef2","bc6bcdd23563af910b3d0e82777e90f516371f712674e25ab608ff3d02c1d590","255","1","255","51.72757","58.883816","2","True","6522","0.0248794555664063","216","273","323","361","c6362495f894690903081e0458a66d2e335a287e1ea5ea81ea7719a5d9928e1b","e80e203de25a90f768e1002d77d46901f26acc3e32aab373607b64f4c39de2d7"
"Glioma__enh_20","Glioma","original","train","train","similarity_19","Glioma/enh_20.png","Glioma/enh_20_mask.png","d6e7b228c7cb6b2ab40a643f6b69d22bfdedf4ac0c3d7695684520d67c5c0dfd","98ca3e20bba337207d954139269996fb0815925a1eeef108c53b75fac799933b","255","1","255","53.759789","61.644366","2","True","3244","0.0123748779296875","231","295","305","349","a8b89a6aad0924d9ae1316190e603c4e75f8d5757e9c580505f8f0198de646be","241939e841dfd63872d505ba762f9e8e4096ff8ad637b95ef85fa01fffb5d108"
"Glioma__enh_21","Glioma","original","train","train","similarity_20","Glioma/enh_21.png","Glioma/enh_21_mask.png","4a45aa07d6463653e509c6638aab0eb1b8e523ea929187c2211237f928a0013e","4c845fcb65d7c23105cb49b8e215ab2284dd6993bbc28f0063ba999b21d9da14","255","1","255","42.277073","54.5256","2","True","1001","0.00381851196289063","200","180","234","214","28a9956a844544ac4b9eb23289c16478c85db2035fe3e120ce65a6a0d9b6379d","6eb8d5b7fda08f783c2dc437d45e39c68348eed296c4bd496dc4216cbbf87456"
"Glioma__enh_22","Glioma","original","train","train","similarity_21","Glioma/enh_22.png","Glioma/enh_22_mask.png","722160c7f5ecda0979637cd2d5954162a117385c9b19637b01d205d13fe03c8d","7dcbe6f92520002d24964971f48ebc5af7c5ecd2a7bdfd127884592bdf094a28","255","1","255","42.722061","57.923154","2","True","1850","0.00705718994140625","187","172","233","239","22328123e475bded9013a3ee64926a46f1c1364ec25c65d63bb12cb9dc13ea0f","ea0136d47b76ff3a5fdc1a32a91b623379d5e6e0279f7565657e1f909ecf41a1"
"Glioma__enh_24","Glioma","original","train","train","similarity_23","Glioma/enh_24.png","Glioma/enh_24_mask.png","5247e1c9dbd8a8d521d16140c2b490a232944c540e13bdb3bb84f4c6b3183046","88b824d8803fa451e64d87b44d9b0aab65be5602eb6870d110c10b455b7d2352","252","1","255","43.088291","53.436226","2","True","1991","0.00759506225585938","285","179","330","233","c70ea75da5a2669342f6a4423a785576e8d13ce5e251bc2352b47d0f18e49220","abb15d6947e118803c8280bf04d8629b121ffa0bd0a354396cc64e9a167de34c"
"Glioma__enh_25","Glioma","original","train","train","similarity_24","Glioma/enh_25.png","Glioma/enh_25_mask.png","ec141b5e13c9237d1267ff1a488a897e78aaeaa8556124cbb7d2a3a147f7896e","89714161c6ca80537ac6e3de7a7ccfd9c49d3f56cd4bd9d1b3b4bc2bf7ea73e1","255","1","255","44.168255","52.419069","2","True","1729","0.00659561157226563","254","122","296","173","b9cdc35642a55508dbae25d82210453a7aa3d01468a1733fea4e56b7274d87c5","6e7a9f4efa408e45b0c1e2965862fcea82680a4ba1f37296cc328e87a1446d70"
"Glioma__enh_27","Glioma","original","train","train","similarity_26","Glioma/enh_27.png","Glioma/enh_27_mask.png","e8e278a89c82aa041167bf5c14178c53505db70401e461891815f4eb198347f0","8b3e9d90193ca14685bedeedf891537e83eba9c5bb1c86e96f58c9c9d838793b","256","0","255","54.759869","64.248021","2","True","2149","0.00819778442382813","307","310","355","367","fecd46ef95ef0f9b36af66737469ba9dd6059c00fd8044e9349fe1f4e284da35","795037cf96f5aed8e13d3eddefe68cbdce7e0818e0677c29cfdfcac890817e3e"
"Glioma__enh_28","Glioma","original","test","train","similarity_27","Glioma/enh_28.png","Glioma/enh_28_mask.png","323bb51bfee2411866629b4956fb5f91ce97fe1f97a92221e49d4ee2b0348e8f","10def6f54632eae13fd8dac32a7ac7b659440388ffe02e047d69097758f08629","255","1","255","43.142651","49.768537","2","True","9377","0.0357704162597656","255","86","356","212","359207ccde249535fd655b4793a906ac04607efb048d2f621993841f6eea695c","1f12d2b3064db225013949c775e4cedfb918212f7adcf43adad6e120dda23952"
"Glioma__enh_29","Glioma","original","test","train","similarity_28","Glioma/enh_29.png","Glioma/enh_29_mask.png","ee48d966024777150325bc2262cd49e29a7d573a139bd86474e01db0add4b107","cf7cb2cf8405ad346cadac8e2210e71a77792d4e81bb2ba5799fbd033a7b74bc","255","1","255","44.695572","50.40603","2","True","6384","0.02435302734375","272","94","363","204","e9f77e6d1716ab0e2be9004bc77705b38bce841a5dc18e8db6854a9839b47f18","2df635db671cadd3300aeba1b2408fdeb1960e340f823b122269d5f44e05073e"
"Glioma__enh_30","Glioma","original","test","train","similarity_29","Glioma/enh_30.png","Glioma/enh_30_mask.png","818b64fe7b820afd7cfa95dc834c4856678648967922ebd6b61265130d3f01ac","9f9317cc5b3bf23ba1b638c1089e4f31e7ee55c59c8b8a980e23aad4f29b413f","254","2","255","42.880699","47.920462","2","True","6467","0.0246696472167969","279","93","366","194","4b4154e37d1d395187b0ebb11dee9b912939bcaddb045a8c7c514d3ef12e2b97","e470f3db22b0ff3391e445c6e2e06c6c98bac22b92ec561054a18e00df5dcb61"
