sample_id,source_id,tumor_type,group_id,split,image_path,mask_path,image_sha256,mask_sha256
Glioma__enh_209,209,Glioma,Glioma__enh_209,train,Glioma/enh_209.png,Glioma/enh_209_mask.png,e3e892e80aa7ac37dc74101194071e58ab8bcd2a61a7221864ffc96e906ff76d,241734e905a846ab3394bec19abdbf597b0efae4d441d8034b50226ed1a8b787
Glioma__enh_210,210,Glioma,Glioma__enh_210,train,Glioma/enh_210.png,Glioma/enh_210_mask.png,fadf66be00647637553579ee90cec6ea306d1598e2d820b9573a4aef70054846,4851b30c88e3d0de8ebf3b7f625ad99f98eb5ce6e27558937bc76540694cd7ae
Glioma__enh_1841,1841,Glioma,Glioma__enh_1841,train,Glioma/enh_1841.png,Glioma/enh_1841_mask.png,e4de3ca03d2c46abc045996d9350d4ad0e88f203374befd832ce676a30ad6653,78dbf76359a3436f0f85b4031515407c81d419b2469b2b30148eb2c383095063
Glioma__enh_1842,1842,Glioma,Glioma__enh_1842,train,Glioma/enh_1842.png,Glioma/enh_1842_mask.png,f6a3bde5221aa97720ba293d7f1cf010d66cb3352d947e6c680aacb4eac2f4f7,81bdca35ac1779bfa746b63ed106824c262b48e8065af23eddee48658df7a61d
Glioma__enh_1844,1844,Glioma,Glioma__enh_1844,train,Glioma/enh_1844.png,Glioma/enh_1844_mask.png,3b3889605ef966d5673d5e4a756264195d6e7c1f47887a80f3840b0e32e859cc,f6e40707cea12493f73aeb7edb0a357ee4e4e126ce9375d89b6dc597bf6395a9
Glioma__enh_1846,1846,Glioma,Glioma__enh_1846,train,Glioma/enh_1846.png,Glioma/enh_1846_mask.png,2ae43e7f3463b1c5ebcddbfec9f2cc780a0046fceb1940b8b8841117078c95a6,d9ccddc53e568883587a43c3dcfc05596ee89a1e3a47f0fbe59f4985292c5f00
Glioma__enh_1847,1847,Glioma,Glioma__enh_1847,train,Glioma/enh_1847.png,Glioma/enh_1847_mask.png,cfeac6bf3838d6a9c6d32dc450b6835da4a3bd7e79da0a742a0f31736fa17c03,730cce0b407ec6ae57d0b635efda8364b70ef93e11c4361f9712a7a8c2051124
Glioma__enh_1849,1849,Glioma,Glioma__enh_1849,train,Glioma/enh_1849.png,Glioma/enh_1849_mask.png,29f576972d1273d1197c22f1c215328c616033c06ed666e63a569ea37ef1c690,d533e34fa3cd12e4767f5c8a46a19a15f0105dac090abbfd13cd28527ec327ce
Glioma__enh_1850,1850,Glioma,Glioma__enh_1850,train,Glioma/enh_1850.png,Glioma/enh_1850_mask.png,fdab81b15fb5a64e8fcacf2b9165df9c811bbf624121e3ee2e0f25f1414f4418,6a15539e67df3f0de8616e107f29766b817fce0c293d4c5dd18bbb03ccd75598
Glioma__enh_1851,1851,Glioma,Glioma__enh_1851,train,Glioma/enh_1851.png,Glioma/enh_1851_mask.png,bda06305944bb983df1b0627ee4ce563eb72f867f9587206b6add2606b3f25dd,4e84a8cf28e714a08c61c99c85da89cb9552083bb33abbfdb3b0d445a6e47745
Glioma__enh_1852,1852,Glioma,Glioma__enh_1852,train,Glioma/enh_1852.png,Glioma/enh_1852_mask.png,a757845cea1cace285fd7671a637ad5116d05d4072d0d2584ee854b5cc38b3f4,3fa2706208b8a7de25abaaa44937a805e90804515acc4ce7aebe2caca344a872
Glioma__enh_1853,1853,Glioma,Glioma__enh_1853,train,Glioma/enh_1853.png,Glioma/enh_1853_mask.png,f756998765c5efd5c513caf38ce40ada04d306d8f6a9b08054ea9301760c4f09,893e5b78797c492ab78dd405028afb1c4faeb499e4cf369a26016d1319ab2c3d
Glioma__enh_1854,1854,Glioma,Glioma__enh_1854,train,Glioma/enh_1854.png,Glioma/enh_1854_mask.png,a6ea9353adc2cf47eb74931110a005bd1e7544ec56a8cd806f5a667ba92e74a6,15207d2504c9fe97e85745a5a87a7826f2a1ce6bb4344c710eae34ff96f33cb5
Glioma__enh_1855,1855,Glioma,Glioma__enh_1855,train,Glioma/enh_1855.png,Glioma/enh_1855_mask.png,cff45a2941381567f6b8fbf3245dd94a7abedfe0f519023f8f51da9a2994233d,7404dc980cfcb5277af339ebdb1022cafbb55f2793b0fc02c65f8c8b1aaf091a
Glioma__enh_1859,1859,Glioma,Glioma__enh_1859,train,Glioma/enh_1859.png,Glioma/enh_1859_mask.png,3998963aa512cc8e2e1bcdb9689995dc554ea07c812e8ecbd3f2f6a35632435a,6461c8c37d037b58329605e2adc6f2b9ac8834f3a988738b94e55cbead87fb31
Glioma__enh_1860,1860,Glioma,Glioma__enh_1860,train,Glioma/enh_1860.png,Glioma/enh_1860_mask.png,244ab13ef1f464a4f861dad99473948dbbe8e9d375cfedb21e06dfc8c9260bd5,84cb361c9c4755ee9a5ae5389ab9db1c74868780662172089879c0ae8cde93a1
Glioma__enh_1861,1861,Glioma,Glioma__enh_1861,train,Glioma/enh_1861.png,Glioma/enh_1861_mask.png,d1618d090417f999f745b4f38387bd421044fd305eea7b5b9947bfbcadea0313,d3701231711a8daec2b5a4f2a29dbfefeb1e82ccf7dd6286166876bb8963a229
