"sample_id","source_id","tumor_type","group_id","split","image_path","mask_path","image_sha256","mask_sha256"
"TCGA_CS_4941_19960909__slice_1","1","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_1.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_1_mask.tif","ee33c719f5ac4503a54aba4ed6bff39adb5a608ae4e22df6b8d6e9ad0d8c3b84","ab7233e2b69e64b6862e0d38232a00875aa27e8e4c6188be9f29a6a8cef6aa60"
"TCGA_CS_4941_19960909__slice_2","2","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_2.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_2_mask.tif","b86f3eaa687be057cc18f61a7ebf920332a616aa05a46661548bd64544d70781","ab7233e2b69e64b6862e0d38232a00875aa27e8e4c6188be9f29a6a8cef6aa60"
"TCGA_CS_4941_19960909__slice_3","3","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_3.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_3_mask.tif","5ecb7a90a3421f0a209ed57d1505da762e4beb88c2c368d257a6e19ebf55956d","ab7233e2b69e64b6862e0d38232a00875aa27e8e4c6188be9f29a6a8cef6aa60"
"TCGA_CS_4941_19960909__slice_4","4","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_4.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_4_mask.tif","fde0111bd833788dfeda2f159f4fd040672f5842d5cdef05b7ef594aeb244ee2","ab7233e2b69e64b6862e0d38232a00875aa27e8e4c6188be9f29a6a8cef6aa60"
"TCGA_CS_4941_19960909__slice_5","5","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_5.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_5_mask.tif","3032be1309525e2d66b8368be67d633b03b1141d0e5f94c88516a7040adabfa8","ab7233e2b69e64b6862e0d38232a00875aa27e8e4c6188be9f29a6a8cef6aa60"
"TCGA_CS_4941_19960909__slice_6","6","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_6.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_6_mask.tif","ff77e63e159cf12634526125ee1cd2fef5e09a209b937b6f0aa878eb747ae54e","ab7233e2b69e64b6862e0d38232a00875aa27e8e4c6188be9f29a6a8cef6aa60"
"TCGA_CS_4941_19960909__slice_7","7","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_7.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_7_mask.tif","07b25abb42fc4b6eb59fb1464218d4c684d753f3d385f42738e0060865116445","ab7233e2b69e64b6862e0d38232a00875aa27e8e4c6188be9f29a6a8cef6aa60"
"TCGA_CS_4941_19960909__slice_8","8","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_8.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_8_mask.tif","c2475abeaede7666bea3984aabff07f35d0a44af3ac4cd1a9b1071d5a4c32edc","ab7233e2b69e64b6862e0d38232a00875aa27e8e4c6188be9f29a6a8cef6aa60"
"TCGA_CS_4941_19960909__slice_9","9","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_9.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_9_mask.tif","dc8e862ca03117541ad02a589b63ff9b7fabcc572f24dcdadf8fdd35d3d62e3f","ab7233e2b69e64b6862e0d38232a00875aa27e8e4c6188be9f29a6a8cef6aa60"
"TCGA_CS_4941_19960909__slice_10","10","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_10.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_10_mask.tif","01ca42c4755ea1260560ac5d5f2c0eb77b7d505f0fffda5a306d3a8e91622afa","ab7233e2b69e64b6862e0d38232a00875aa27e8e4c6188be9f29a6a8cef6aa60"
"TCGA_CS_4941_19960909__slice_11","11","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_11.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_11_mask.tif","24cd07fadeea7cbc3bd56d16aac13af39ff731d857e70466aacb5e8f58d54bf5","1cd643ae0abaeba53b47b3b30827a1d02041039ce0311f7344d26eb90a368da3"
"TCGA_CS_4941_19960909__slice_12","12","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_12.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_12_mask.tif","1081228a8daafa745c17540f1e4b3fb7e76cc63d2f866d82f530d4c4c9f074a7","75f70064d938da8bbfc12040b54111e84eab35b5dee35b6fe82d39c26f904901"
"TCGA_CS_4941_19960909__slice_13","13","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_13.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_13_mask.tif","20747a33c25f13866e1c7ad513e8653a5b1fb54546ac77376d1a7c3100655158","409199c6869e6d3a9155ca263a27c19dc1444c1c75b0550f3e4c355d936bc924"
"TCGA_CS_4941_19960909__slice_14","14","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_14.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_14_mask.tif","308cfb3d6363659267e28e6ce33f667a6bd746cffe4dac0f4a4371c6a4f3e173","cfac071f28e42133407032d2dcda4e4c70888bcd3ce2371e2ac4ea204aa30d46"
"TCGA_CS_4941_19960909__slice_15","15","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_15.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_15_mask.tif","8c22423ad6fbbc4ff87160f6fc945bf33b2ff8d514f4a92e3b6d02cdad32bc18","cc36b053055ad29cf1bfcc201c8d283c106d287821bf35a176aecf006bd89ec8"
"TCGA_CS_4941_19960909__slice_16","16","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_16.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_16_mask.tif","a5c3fe950e312655204cfda371371e9d30e934dbd96713e777d2fa122ce4e90a","478a2f079751a33701c7a1722656376b738663c7de2ae0b8b5f7e40393ae3197"
"TCGA_CS_4941_19960909__slice_17","17","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_17.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_17_mask.tif","feb0e9b506e6430e7f415f42b6274b498fe3b98d0d87ec3f79a734e2e25027ef","83f9ee103e619757d461553326fdc2ecca310c9c845d3d781852c4429406a07d"
"TCGA_CS_4941_19960909__slice_18","18","LGG","TCGA_CS_4941_19960909","train","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_18.tif","TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_18_mask.tif","95ec24acdd7c22c38462e757e2fa7bc04182ed03f55012c5d083c2d0bc0f838d","aa01b4963c39fa708d0ee3525916b4747d510fdb447c8af5567de88c5ff9ec79"
