"sample_id","source_id","tumor_type","group_id","split","image_path","mask_path","image_sha256","mask_sha256"
"Glioma__enh_1","1","Glioma","similarity_0","train","Glioma/enh_1.png","Glioma/enh_1_mask.png","d0a67fed163c1a3af12b2ac8eac425a3d47c57267775912a1e1e75ea1037fe2b","be250ec080a456815600d5c32417934a5281807dddeb4b026d8a70398bfe6e92"
"Glioma__enh_3","3","Glioma","similarity_2","train","Glioma/enh_3.png","Glioma/enh_3_mask.png","70ebf1f2094bd5d88729f20bc3115fd64abed0034b61809036a11ee27b3b67e2","64196d46a8868a10e83b1410622e8c0d1f19a610b168b90027560bf66d52b524"
"Glioma__enh_4","4","Glioma","similarity_3","train","Glioma/enh_4.png","Glioma/enh_4_mask.png","7228363f1de4b38ee6b3d954cb8066b277a4c1811720b2a50f05a39c0b692055","24b49a982f4444bd506c1c535829184c8c6d88b0901edfd9a83a8916c2018492"
"Glioma__enh_5","5","Glioma","similarity_4","train","Glioma/enh_5.png","Glioma/enh_5_mask.png","1f0dd66100037ea66581c62639e35acce2e30522dab582ce1c99614daa0bfb1b","882ff91b1266955aad17d0e00cb861041f9c2ad241663b8ad5458724403753ea"
"Glioma__enh_6","6","Glioma","similarity_5","train","Glioma/enh_6.png","Glioma/enh_6_mask.png","60ce0541472d43d115a96a126bfcb7cb24b649fac02def508419a7a3b950d01c","2c3b0377aad4e7a6478bf8605e2b5159e1b2b755ed9ae808777f8059c9e02dd7"
"Glioma__enh_9","9","Glioma","similarity_8","train","Glioma/enh_9.png","Glioma/enh_9_mask.png","07f90dc50d88ce222f10acbddb2bfdfdfab51b31a57d478b6f49ef3dddf447a3","c21183cf8c3a7ccdfa58bfe8a7ed67d05d96b5fdde4e138648d3e5da62d1cc07"
"Glioma__enh_10","10","Glioma","similarity_9","train","Glioma/enh_10.png","Glioma/enh_10_mask.png","dc13d552056d3f54599c18da16352df42101e3a31ba05a702686ff93426e9dc0","f8894c8754d65eefa9251a20a4afa1d0c0b529eeb1a5d8c896396011df381c09"
"Glioma__enh_11","11","Glioma","similarity_10","train","Glioma/enh_11.png","Glioma/enh_11_mask.png","551e0afad13ff6773ab211c1010488d2258626976fc0682241e58e0d9eab98ef","3375715b32d9707aeadc26dc727b73d34f42cffaef880aa0179fcede872c0e19"
"Glioma__enh_13","13","Glioma","similarity_12","train","Glioma/enh_13.png","Glioma/enh_13_mask.png","4cb2d1136a8d122af15dae26835808b6e0bcaeda79f2761932b192b0a494a0b3","793b6df8b8778ebff2fe506941d3643d66542338cd60753755365eb41643a240"
"Glioma__enh_15","15","Glioma","similarity_14","train","Glioma/enh_15.png","Glioma/enh_15_mask.png","63160d493d34e037ebc9885b5bf922374f9eb5bad066aa14b3e6d77c8acc6647","93af610c35a772d720fe4542cdd8cfbb6e81918f9d310b6b4a9be0fbc2067a00"
"Glioma__enh_16","16","Glioma","similarity_15","train","Glioma/enh_16.png","Glioma/enh_16_mask.png","fb7ae32a68534b3ea956b3aed48a7f9c16a6eea7382d3aa9834dfc8819f7c8a4","a7d2d85132b49cb9d73f58eb25b880b4fc1ad490781b94f90f29bc1bf1e8501e"
"Glioma__enh_17","17","Glioma","similarity_16","train","Glioma/enh_17.png","Glioma/enh_17_mask.png","9e02f7d1e984904a4fb1894223a8fca0cd0d18b2c07a9b9a5e9e617de65bdc69","19f2d54ee570a40216ef8acde631a1abffe58b732b58c00915e1c0573976702f"
"Glioma__enh_19","19","Glioma","similarity_18","train","Glioma/enh_19.png","Glioma/enh_19_mask.png","c6362495f894690903081e0458a66d2e335a287e1ea5ea81ea7719a5d9928e1b","e80e203de25a90f768e1002d77d46901f26acc3e32aab373607b64f4c39de2d7"
"Glioma__enh_20","20","Glioma","similarity_19","train","Glioma/enh_20.png","Glioma/enh_20_mask.png","a8b89a6aad0924d9ae1316190e603c4e75f8d5757e9c580505f8f0198de646be","241939e841dfd63872d505ba762f9e8e4096ff8ad637b95ef85fa01fffb5d108"
"Glioma__enh_21","21","Glioma","similarity_20","train","Glioma/enh_21.png","Glioma/enh_21_mask.png","28a9956a844544ac4b9eb23289c16478c85db2035fe3e120ce65a6a0d9b6379d","6eb8d5b7fda08f783c2dc437d45e39c68348eed296c4bd496dc4216cbbf87456"
"Glioma__enh_22","22","Glioma","similarity_21","train","Glioma/enh_22.png","Glioma/enh_22_mask.png","22328123e475bded9013a3ee64926a46f1c1364ec25c65d63bb12cb9dc13ea0f","ea0136d47b76ff3a5fdc1a32a91b623379d5e6e0279f7565657e1f909ecf41a1"
"Glioma__enh_24","24","Glioma","similarity_23","train","Glioma/enh_24.png","Glioma/enh_24_mask.png","c70ea75da5a2669342f6a4423a785576e8d13ce5e251bc2352b47d0f18e49220","abb15d6947e118803c8280bf04d8629b121ffa0bd0a354396cc64e9a167de34c"
"Glioma__enh_25","25","Glioma","similarity_24","train","Glioma/enh_25.png","Glioma/enh_25_mask.png","b9cdc35642a55508dbae25d82210453a7aa3d01468a1733fea4e56b7274d87c5","6e7a9f4efa408e45b0c1e2965862fcea82680a4ba1f37296cc328e87a1446d70"
"Glioma__enh_27","27","Glioma","similarity_26","train","Glioma/enh_27.png","Glioma/enh_27_mask.png","fecd46ef95ef0f9b36af66737469ba9dd6059c00fd8044e9349fe1f4e284da35","795037cf96f5aed8e13d3eddefe68cbdce7e0818e0677c29cfdfcac890817e3e"
"Glioma__enh_28","28","Glioma","similarity_27","train","Glioma/enh_28.png","Glioma/enh_28_mask.png","359207ccde249535fd655b4793a906ac04607efb048d2f621993841f6eea695c","1f12d2b3064db225013949c775e4cedfb918212f7adcf43adad6e120dda23952"
"Glioma__enh_29","29","Glioma","similarity_28","train","Glioma/enh_29.png","Glioma/enh_29_mask.png","e9f77e6d1716ab0e2be9004bc77705b38bce841a5dc18e8db6854a9839b47f18","2df635db671cadd3300aeba1b2408fdeb1960e340f823b122269d5f44e05073e"
"Glioma__enh_30","30","Glioma","similarity_29","train","Glioma/enh_30.png","Glioma/enh_30_mask.png","4b4154e37d1d395187b0ebb11dee9b912939bcaddb045a8c7c514d3ef12e2b97","e470f3db22b0ff3391e445c6e2e06c6c98bac22b92ec561054a18e00df5dcb61"
"Glioma__enh_32","32","Glioma","similarity_31","train","Glioma/enh_32.png","Glioma/enh_32_mask.png","cde9918f213a71d732132be1877229f17eca597bf7f5d8475780fa705d2fe738","b452a143d56f5e39a8100119b25f5483585885c25cec289415e3d7692d4e9db9"
"Glioma__enh_33","33","Glioma","similarity_32","train","Glioma/enh_33.png","Glioma/enh_33_mask.png","942d4bc75bc7e70ad7a207cd4d18a5f81d7458cfacfdc8b02a99f33ae681497e","569a29a7b13fa357915f4913923892bc5cdbb6b795e3ffeff04b8512b1e94a01"
